ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS
2020,2,14,ANCHOVETA,124176,1714.996,1714.9960000000003,1
2020,3,14,ANCHOVETA,134485,1136.6090000000002,1142.58,1
2020,4,14,ANCHOVETA,145413,562.103,576.64,1
2020,5,14,ANCHOVETA,149787,1140.022,1127.145,1
2020,6,14,ANCHOVETA,146279,585.258,577.787,1
2020,2,14,JUREL,200000,1084.462,1084.4620000000002,1
2012,2,14,SARDINA COMUN,67000,7567,13115.294999999995,1
2012,3,14,SARDINA COMUN,62000,20491,23251.638999999966,1
2012,4,14,SARDINA COMUN,67000,16571,17010.24900000001,1
2012,5,14,SARDINA COMUN,74000,13048,14929.454000000007,1
2012,6,14,SARDINA COMUN,86000,2429,2769.5099999999993,1
2012,7,14,SARDINA COMUN,79000,1934,3058.3179999999998,1
2012,8,14,SARDINA COMUN,76000,5028,6140.813999999999,1
2012,10,14,SARDINA COMUN,78000,9263,11899.413000000002,1
2012,11,14,SARDINA COMUN,83000,21790,25341.09100000001,1
2012,12,14,SARDINA COMUN,93000,20076,19815.788999999997,1
2013,2,14,SARDINA COMUN,92055,7538.711,9225.556000000004,1
2013,3,14,SARDINA COMUN,91674,9363.041,12559.499999999996,1
2013,4,14,SARDINA COMUN,100221,6207.649,8409.581,1
2013,5,14,SARDINA COMUN,106553,5176.484999999999,6739.625999999998,1
2013,6,14,SARDINA COMUN,121400,2467.197,3660.7479999999987,1
2013,7,14,SARDINA COMUN,111689,2761.5110000000004,3193.0690000000013,1
2013,10,14,SARDINA COMUN,77819,1400.845,1569.19,1
2013,11,14,SARDINA COMUN,84664,2814.5519999999997,3872.887,1
2013,12,14,SARDINA COMUN,84480,7148.675,9975.711999999998,1
2014,2,14,SARDINA COMUN,88494.99999999999,12416.102999999996,15833.325000000008,1
2014,3,14,SARDINA COMUN,92640,21110.927999999993,25977.487999999983,1
2014,4,14,SARDINA COMUN,95512,15619.315,19291.61,1
2014,5,14,SARDINA COMUN,97304,6100.419000000001,8270.163000000004,1
2014,6,14,SARDINA COMUN,97316,6490.853999999999,7653.153,1
2014,7,14,SARDINA COMUN,98674,7414.426999999999,8974.982,1
2014,10,14,SARDINA COMUN,118828,3055.3540000000003,3989.3509999999987,1
2014,11,14,SARDINA COMUN,119784,10724.679999999997,16365.092999999979,1
2014,12,14,SARDINA COMUN,127349,2373.725,3191.6099999999988,1
2015,7,14,SARDINA COMUN,119323,2212.2440000000006,2889.663999999999,1
2015,8,14,SARDINA COMUN,124018,883.565,1768.2150000000001,1
2015,10,14,SARDINA COMUN,126881,7691.029000000001,10387.506000000001,1
2015,11,14,SARDINA COMUN,129496,3825.906,5802.51,1
2015,12,14,SARDINA COMUN,136479,5940.495,6631.583,1
2018,7,14,SARDINA COMUN,103055,1120.282,1120.2820000000002,1
2018,10,14,SARDINA COMUN,126346,7401.209000000001,6809.922999999996,1
2018,11,14,SARDINA COMUN,136231,8227.280999999999,8862.460000000001,1
2018,12,14,SARDINA COMUN,159033,1912.666,1919.2160000000001,1
2019,2,14,SARDINA COMUN,116079,11544.53,12826.72,1
2019,3,14,SARDINA COMUN,140456,14532.449999999995,13317.263999999997,1
2019,4,14,SARDINA COMUN,139862,11974.37,12122.329999999996,1
2019,5,14,SARDINA COMUN,134862,4653.360000000001,4515.277,1
2019,6,14,SARDINA COMUN,135151,2390.47,2390.806000000001,1
2019,7,14,SARDINA COMUN,182213,209.72,209.731,1
2019,11,14,SARDINA COMUN,155229,7874.479999999999,8192.721000000001,1
2019,12,14,SARDINA COMUN,149748,8996.869999999997,8680.412000000004,1
2020,2,14,SARDINA COMUN,124176,5300.462,5300.4619999999995,1
2020,3,14,SARDINA COMUN,134485,8744.298999999999,8822.828,1
2020,4,14,SARDINA COMUN,145413,9346.481999999998,9564.55,1
2020,5,14,SARDINA COMUN,149787,5534.731,5268.588,1
2020,6,14,SARDINA COMUN,146279,2626.986,2597.1020000000003,1
