ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS
2013,5,8,ANCHOVETA,93525.9681177288,1656.281,2529.2860000000005,3
2013,6,8,ANCHOVETA,93043.80776964802,1420.296,1822.6490000000006,3
2013,7,8,ANCHOVETA,96677.17438971747,227.026,569.511,2
2013,10,8,ANCHOVETA,96830.4867808418,344.5,984.5780000000003,2
2013,11,8,ANCHOVETA,92241.17224275888,854.84,1858.4690000000003,2
2013,12,8,ANCHOVETA,124334.55109744596,1029.709,2635.533999999999,2
2014,3,8,ANCHOVETA,97765.4230333438,2680.349,9088.817999999996,4
2014,4,8,ANCHOVETA,100668.09916478848,8806.392,26567.707000000042,4
2014,5,8,ANCHOVETA,103679.72729639284,2977.0930000000003,8136.257000000001,2
2014,6,8,ANCHOVETA,101660,311.82700000000006,1311.299000000001,1
2014,7,8,ANCHOVETA,96266,2124.617,1962.9820000000009,1
2014,10,8,ANCHOVETA,107642,451.657,2288.398999999998,1
2014,11,8,ANCHOVETA,119994,177.897,2722.4699999999993,1
2014,12,8,ANCHOVETA,114530,47.281,334.15800000000013,1
2016,3,8,ANCHOVETA,129284.49895470384,2870,30288.52300000004,2
2016,4,8,ANCHOVETA,127993.37728937728,546,7406.190000000009,2
2016,5,8,ANCHOVETA,130000,27,6495.779999999998,1
2017,3,8,ANCHOVETA,100000,2395,13024.406000000003,2
2017,4,8,ANCHOVETA,130349,689,5362.295999999999,2
2017,5,8,ANCHOVETA,111783.85601577908,507,5808.296999999999,2
2017,6,8,ANCHOVETA,130108,68,1219.968,1
2017,10,8,ANCHOVETA,95000,318,2871.225,1
2017,11,8,ANCHOVETA,96041,1746,15138.645000000006,1
2017,12,8,ANCHOVETA,97031,1405,4299.402000000001,1
2018,2,8,ANCHOVETA,215570,121.664,380.598,1
2018,3,8,ANCHOVETA,131071.00000000004,2179.8199999999997,13120.591000000004,2
2018,4,8,ANCHOVETA,146955,2001.551,10074.789999999997,2
2018,5,8,ANCHOVETA,146284,690.259,6173.609,1
2018,6,8,ANCHOVETA,155509,1422.888,5222.4,1
2018,10,8,ANCHOVETA,139712,29.837,1521.0370000000003,1
2018,11,8,ANCHOVETA,155022,734.3719999999998,15687.297000000031,1
2018,12,8,ANCHOVETA,179945,124.501,1137.8110000000001,1
2019,3,8,ANCHOVETA,145888,3388.4300000000003,31654.06500000004,1
2019,4,8,ANCHOVETA,156103,4470.09,42787.06300000001,1
2019,5,8,ANCHOVETA,176030,1529.42,24589.316,1
2019,6,8,ANCHOVETA,162996,576.91,10208.127999999997,1
2019,7,8,ANCHOVETA,84863,58.38999999999999,3909.3800000000015,1
2019,11,8,ANCHOVETA,157711,3420.239999999999,26947.857000000004,1
2019,12,8,ANCHOVETA,157064.7969890759,1103.98,7521.109999999997,2
2020,3,8,ANCHOVETA,135960,549.851,6263.301999999998,2
2020,4,8,ANCHOVETA,162317,5394.833999999998,52458.62799999998,2
2020,5,8,ANCHOVETA,180163,2146.339,40268.924999999974,2
2020,6,8,ANCHOVETA,172458,928.686,12646.322999999999,1
2020,7,8,ANCHOVETA,174124,852.523,5943.889,1
2020,11,8,ANCHOVETA,191823,3814.970999999999,34850.47099999997,1
2020,12,8,ANCHOVETA,263052,243.29,5757.8589999999995,1
2021,3,8,ANCHOVETA,150719.2315607189,11630.185000000003,54853.31200000011,2
2021,4,8,ANCHOVETA,170640.079964694,3680.961999999999,45679.38199999999,2
2021,5,8,ANCHOVETA,168692.22417211713,4515.343000000001,39164.204,2
2021,6,8,ANCHOVETA,189262,935.9459999999998,13784.86400000001,1
2021,7,8,ANCHOVETA,144209,1013.878,3145.8249999999985,1
2021,11,8,ANCHOVETA,161025,896.387,5401.713000000003,1
2021,12,8,ANCHOVETA,162192,81.723,81.739,1
2022,3,8,ANCHOVETA,163765.55081971476,26705.876,88592.13299999983,2
2022,4,8,ANCHOVETA,175099.582980867,21036.289,58980.243000000075,2
2022,5,8,ANCHOVETA,183995.3598910096,5880.8859999999995,21334.704000000005,2
2022,6,8,ANCHOVETA,192361.1562961795,2752.844,11694.585000000003,2
2022,7,8,ANCHOVETA,228717,142.201,745.4509999999997,1
2022,10,8,ANCHOVETA,203429,76.189,378.39700000000005,1
2022,11,8,ANCHOVETA,179410.7960490228,5512.864,20782.02100000001,2
2022,12,8,ANCHOVETA,140000,22.916,22.964000000000002,1
2023,3,8,ANCHOVETA,175983.3201039592,11024.709,35170.895,2
2023,4,8,ANCHOVETA,179682.66154268375,15708.093,46107.68399999994,2
