year,month,P_jurel,P_sardina_comun,P_anchoveta,Q_jurel,Q_sardina,Q_anchoveta,P_sardina
2012,1,174000,63000,62000,67350.71600000001,16.880000000000003,6.85,63000
2012,2,208000,66000,62000,40827.648999999976,34840.46299999999,257.86599999999993,66000
2012,3,59000,66222.22222222222,67200,25882.192,246995.89999999973,6729.8769999999995,66222.2222222222
2012,4,163765.227501251,68700,66833.3333333333,19438.142999999996,190814.7750000001,30577.22399999999,68700
2012,5,163106.160471002,89900,70333.3333333333,15213.454000000003,60009.51300000002,10886.609,89900
2012,6,162447.093440754,78250,74333.3333333333,2610.7599999999998,31836.169,2786.318,78250
2012,7,107000,75250,77400,51.315,43739.299000000035,2110.4800000000014,75250
2012,8,140000,79125,85400,433.92900000000003,19686.012,302.078,79125
2012,9,205250,96000,82500,1571.272,1097.4330000000002,34.349,96000
2012,10,140000,82444.44444444444,83000,150.131,50721.09699999997,7392.5039999999935,82444.4444444444
2012,11,150000,84666.66666666667,83500,44.568,108437.95500000002,7308.017999999999,84666.6666666667
2012,12,150000,103888.88888888889,84833.3333333333,5750.28,60548.53400000002,4835.112999999999,103888.888888889
2013,1,171500,NA,283182.302537223,36666.15799999999,381.685,3.1510000000000002,101222.683911674
2013,2,150000,149998,221303,35955.61100000002,12087.563000000006,252.02000000000007,149998
2013,3,180332.065810264,113541.33333333333,91142.8571428571,39730.952999999994,67779.914,21597.034,113541.333333333
2013,4,184299.571368778,129823.5,88196.25,35259.539000000004,22539.18099999999,7411.364999999996,129823.5
2013,5,188267.076927292,126607.33333333334,90948.75,23008.586,19175.102999999996,3483.2170000000006,126607.333333333
2013,6,192234.582485806,140645,94666.6666666667,5956.375,10071.041,2842.523000000001,140645
2013,7,196202.088044321,237205.3333333333,97114.5,0.19499999999999998,33626.899000000005,750.4,237205.333333333
2013,8,200169.593602835,NA,96650.7371833512,14.98,8.678,0.3,228945.902334568
2013,9,204137.099161349,NA,97064.2241114263,0,114.351,1.9540000000000002,147055.168223587
2013,10,208104.604719863,128300.66666666667,97258,0,13120.516999999998,1006.9060000000003,128300.666666667
2013,11,212072.110278378,203180.66666666666,90764,8.828000000000001,34613.967000000004,2382.5600000000004,203180.666666667
2013,12,299933.656257008,232085,122623,7999.157000000002,24428.419000000005,3609.000999999999,232085
2014,1,220000,90000,258136.38073763,31786.824000000015,43.97500000000001,2.656,90000
2014,2,220000,89332.5,88495,39398.319000000025,16066.774000000009,702.9739999999998,89332.5
2014,3,220000,85588.88888888889,93184.5,25714.730000000014,196372.08499999964,10666.090999999995,85588.8888888889
2014,4,220000,87267.55555555556,95045.5,60964.412999999986,119650.44299999997,27781.90400000004,87267.5555555556
2014,5,220000,94081.71428571429,95886.5,40609.842000000004,48241.11200000003,9203.481,94081.7142857143
2014,6,220000,93400.83333333333,94845,18459.384000000002,42433.87700000003,1436.4690000000007,93400.8333333333
2014,7,212479.75963932,98814.8,96266,8554.958999999995,41888.49199999999,2024.5330000000006,98814.8
2014,8,220000,119060,120842.337814224,973.058,37.768,98.94200000000001,119060
2014,9,209916.911938758,NA,135805.254808862,123.64599999999999,0.631,0.773,43889.6080937241
2014,10,220000,107574.5,107642,1155.45,32348.782000000025,2290.498999999998,107574.5
2014,11,206606.931492009,106703,104926,0,44138.743999999984,2850.7519999999995,106703
2014,12,167265,114895.6,114530,16240.833000000008,5792.637999999999,390.2230000000001,114895.6
2015,1,198572.181789619,NA,622329.809833561,21074.339999999993,208.75699999999998,221.374,228660.522610705
2015,2,2e+05,467242.5,622329.809833561,914.7570000000001,17016.05600000001,127.82300000000001,467242.5
2015,3,2e+05,275324,622329.809833561,2434.5719999999997,79484.26,2413.6749999999997,275324
2015,4,203225.267203411,224166,622329.809833561,47534.73600000001,102946.97500000006,27988.314000000006,224166
2015,5,203012.490619003,199321,595246.89009304,39922.18200000001,71163.35399999999,15680.545,199321
2015,6,202799.714034596,295080.6666666667,516672.54566726,53012.099,13037.4,1583.5369999999998,295080.666666667
2015,7,202586.937450188,269975.8,415514.666666667,23908.951999999994,12892.246000000005,997.9460000000005,269975.8
2015,8,202374.160865781,543693,378704.724945521,27841.280000000013,4677.280000000001,63.361000000000004,543693
2015,9,202161.384281373,NA,319331.410370175,194.066,33.95,40.596,109684.484323948
2015,10,201948.607696965,128296.5,126881,173.91600000000003,34077.630999999994,1656.5610000000008,128296.5
2015,11,201735.831112558,121784.2,441405.333333333,112.1,79735.07600000019,9860.358,121784.2
2015,12,201523.05452815,118205,118239.5,9773.548,23926.19099999999,3558.8079999999995,118205
2016,1,2e+05,117678,453160.333333333,63323.89299999995,239.86899999999997,114.639,117678
2016,2,2e+05,108933.5,605156.5,16778.29599999999,29493.965,1383.0869999999998,108933.5
2016,3,157000,120938.66666666667,310097.4,23188.494999999995,40715.301000000014,30622.06000000004,120938.666666667
2016,4,2e+05,111944,114444,45311.535,16313.857000000007,9916.19400000001,111944
2016,5,2e+05,110000,115000,42376.958999999995,26720.11800000001,8370.931999999999,110000
2016,6,2e+05,110000,588045.5,35130.141,33770.975,5474.125000000001,110000
2016,7,2e+05,118304.25,1e+05,8906.078,20547.013,2900.6509999999994,118304.25
2016,8,208184.567778086,NA,446041.54497219,8462.757000000001,71.38700000000003,26.24,434227.491775697
2016,9,210055.064228368,NA,574388.086106231,105.382,208.07800000000003,13.1,-10299.1185870444
2016,10,211925.560678649,121107.33333333333,622329.809833561,3670.6779999999994,28470.199000000008,1918.8799999999999,121107.333333333
2016,11,213796.057128931,117263,622329.809833561,3042.278,60041.66000000004,12210.441,117263
2016,12,2e+05,119794.75,622329.809833561,25621.550000000003,25501.562,972.1309999999999,119794.75
2017,1,232633,NA,622329.809833561,16897.188,202.53199999999998,46.971000000000004,264125.148586745
2017,2,219819.953097358,100000,393953.936386992,4012.23,20605.559000000005,1341.0929999999998,1e+05
2017,3,240000,101305.4,98060,38980.798,169656.5179999997,13893.260000000002,101305.4
2017,4,240000,113139.6,116899.333333333,53285.75500000004,34265.10799999998,6200.24,113139.6
2017,5,180000,105858,104230,70295.02900000004,30949.61300000003,8768.418,105858
2017,6,240000,108777,110054,28097.368999999977,13014.722,2075.8160000000003,108777
2017,7,240000,196265.5,113552.508481947,39117.077000000005,12926.533999999998,1699.8279999999997,196265.5
2017,8,240000,663567,109658.58113068,19115.254000000008,93.36199999999997,93.338,580863.510230607
2017,9,227580.710876448,NA,105841.091498154,4576.857,24.795,18.044,47769.441827266
2017,10,227996.980008903,213770.8333333333,95000,3,20624.766999999996,3043.841,213770.833333333
2017,11,228413.249141357,230635.3333333333,96041,8.713999999999999,28720.390000000032,15477.358000000007,230635.333333333
2017,12,228829.518273812,196958.5,97031,13798.444,13904.765000000009,4618.351000000001,196958.5
2018,1,223733,NA,295142.823334554,47397.35699999999,25.075999999999997,9.254,414308.93675516
2018,2,227307.666666667,167785,215570,50863.59,15461.510999999999,2141.9160000000006,167785
2018,3,230000,116677.85714285714,117380.666666667,41909.306000000004,129505.82700000008,15468.492000000004,116677.857142857
2018,4,230000,123341,127970,42882.01299999999,76365.92200000002,11899.626999999999,123341
2018,5,230000,117008.6,146284,65005.52299999998,31355.127999999968,7508.4490000000005,117008.6
2018,6,230000,129720,155509,48548.88200000002,23661.932000000004,5597.892,129720
2018,7,210000,98620.66666666667,90000,44127.09000000001,1343.4790000000003,16.051000000000002,98620.6666666667
2018,8,210000,NA,121197.637858137,14828.786,60.001000000000005,0.7150000000000001,534253.718733787
2018,9,210000,NA,125239.985776508,474.97600000000006,161.82000000000002,98.48400000000001,-58088.0955320615
2018,10,239520.482166818,119849.2,133029,30.945,12456.342999999999,1658.6150000000002,119849.2
2018,11,242839.799190015,119196.42857142857,127084.333333333,12.635,47184.33100000007,15864.485000000033,119196.428571429
2018,12,210000,130350.71428571429,142992.666666667,48958.817000000025,7839.774000000002,1416.9730000000002,130350.714285714
2019,1,235000,612823,288605.553895437,51711.32699999996,68.83,199.34,580863.510230607
2019,2,230000,182808,116019,69625.81399999998,12962.758,92.64099999999999,182808
2019,3,299933.656257008,245309.8333333333,143172,75045.51199999997,108830.0610000003,31798.80000000004,245309.833333333
2019,4,230000,247995,131746.333333333,57823.213,65829.34599999996,44711.911000000015,247995
2019,5,230000,263071,136960.666666667,47759.85200000001,32305.721000000016,26871.669,263071
2019,6,230000,248306.71428571426,132715.666666667,57879.61599999997,14043.367000000007,13108.639999999998,248306.714285714
2019,7,230000,101409.8,122358.666666667,38361.75800000001,7664.082999999995,4331.212000000001,101409.8
2019,8,299933.656257008,NA,134744.556292748,4029.446000000001,10.86,106.595,580863.510230607
2019,9,245527.787269317,10000,139349.013169613,60.07300000000001,14.240999999999998,80.71900000000001,10000
2019,10,241154.885587778,588562,144001.301853695,22.408,467.69100000000003,104.166,580863.510230607
2019,11,236781.98390624,92156.66666666667,156470,575.264,47715.96300000002,28448.712000000003,92156.6666666667
2019,12,230000,100900.875,152402.666666667,16978.401000000005,30366.256999999994,8315.577999999998,100900.875
2020,1,241905,NA,298148.700457853,80473.19799999999,78.443,35.725,499992.819132314
2020,2,188001,124176,124176,102478.11599999994,6170.065,2591.6190000000006,124176
2020,3,161986.666666667,139067.5,126601.25,77125.61100000002,35224.99100000004,7767.468999999998,139067.5
2020,4,188079.25,142578.14285714287,142511.75,60908.149999999965,104305.04799999991,53235.635999999984,142578.142857143
2020,5,180163,156352.16666666666,170037.666666667,66974.86999999998,37355.823,41502.43499999997,156352.166666667
2020,6,201229,156032.5,163731.666666667,51820.873999999996,8706.608999999999,13609.636999999999,156032.5
2020,7,210000,157374.66666666666,174124,24631.67599999998,4312.121,6638.683,157374.666666667
2020,8,221709.090038349,NA,181424.049993171,6927.787,332.1839999999999,383.576,580863.510230607
2020,9,223609.009740475,NA,189020.026293021,900.75,24.610999999999997,214.76999999999998,-26683.2551335378
2020,10,225508.929442601,NA,196646.178041892,0,8246.538999999999,665.724,340890.09675605
2020,11,227408.849144727,163274.33333333334,191823,1411.473,30231.040000000005,35925.037999999964,163274.333333333
2020,12,210000,187017.33333333334,263052,23264.14200000001,27299.390999999992,6567.446999999999,187017.333333333
