ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA,Q_MERCADO,N_PLANTAS
2019,4,2,JUREL,120600,13.41,0,1
2019,5,2,JUREL,126487,1.9,0,1
2019,10,2,JUREL,112042,333.73,0,1
2019,11,2,JUREL,120397,32.48,0,1
2019,12,2,JUREL,116812,217.31,0,1
2020,1,2,JUREL,140014,1090.709,0,1
2020,4,2,JUREL,150699,2130.713,0,1
2020,5,2,JUREL,145016,3381.207,0,1
2020,6,2,JUREL,141661,96.522,0,1
2020,10,2,JUREL,127062,277.884,0,1
2020,11,2,JUREL,130718,8.115,0,1
2021,1,2,JUREL,127714,39.723,0,1
2021,2,2,JUREL,130131,690.015,0,1
2021,3,2,JUREL,131326,7026.139,0,1
2021,4,2,JUREL,130361,2086.037,0,1
2021,5,2,JUREL,142031,7.606,0,1
2021,6,2,JUREL,135130,114.69,0,1
2021,7,2,JUREL,141339,89.135,0,1
2021,10,2,JUREL,156999,299.545,0,1
2021,11,2,JUREL,161367,5.4,0,1
2021,12,2,JUREL,170248,1.44,0,1
2022,1,2,JUREL,162288,646.692,0,1
2022,3,2,JUREL,165063,3299.717,0,1
2022,4,2,JUREL,184349,3125.991,0,1
2022,5,2,JUREL,174330,1367.324,0,1
2022,6,2,JUREL,192915,0.703,0,1
2022,7,2,JUREL,189689,1352.071,0,1
2022,11,2,JUREL,183742,2226.784,0,1
2022,12,2,JUREL,178751,696.607,0,1
2023,9,2,JUREL,226828,92.03,0,1
2023,10,2,JUREL,199745,684.45,0,1
2023,12,2,JUREL,205264,802.463,0,1
2012,2,2,SARDINA ESPAÑOLA,130000,8,0,1
2012,3,2,SARDINA ESPAÑOLA,130000,40,0,1
2012,4,2,SARDINA ESPAÑOLA,130000,52,0,1
2012,5,2,SARDINA ESPAÑOLA,130000,26,0,1
2012,6,2,SARDINA ESPAÑOLA,130000,26,0,1
2012,7,2,SARDINA ESPAÑOLA,130000,1,0,1
2012,8,2,SARDINA ESPAÑOLA,130000,4,0,1
2012,10,2,SARDINA ESPAÑOLA,130000,15,0,1
2012,11,2,SARDINA ESPAÑOLA,130000,3,0,1
2012,12,2,SARDINA ESPAÑOLA,130000,15,0,1
2013,1,2,SARDINA ESPAÑOLA,130000,10.05,0,1
2013,3,2,SARDINA ESPAÑOLA,130000,1.36,0,1
2013,4,2,SARDINA ESPAÑOLA,130000,7.85,0,1
2013,5,2,SARDINA ESPAÑOLA,130000,14.39,0,1
2013,9,2,SARDINA ESPAÑOLA,130000,0.74,0,1
2014,9,2,SARDINA ESPAÑOLA,130000,4.22,0,1
2014,10,2,SARDINA ESPAÑOLA,130000,15.44,0,1
2014,11,2,SARDINA ESPAÑOLA,130000,22.58,0,1
2014,12,2,SARDINA ESPAÑOLA,130000,5.01,0,1
2015,2,2,SARDINA ESPAÑOLA,130000,30.42,0,1
2015,8,2,SARDINA ESPAÑOLA,130000,7.63,0,1
2015,9,2,SARDINA ESPAÑOLA,130000,3.61,0,1
2015,10,2,SARDINA ESPAÑOLA,130000,5.08,0,1
2016,1,2,SARDINA ESPAÑOLA,130000,7,0,1
2016,5,2,SARDINA ESPAÑOLA,130000,5,0,1
2016,6,2,SARDINA ESPAÑOLA,130000,7,0,1
2020,7,2,SARDINA ESPAÑOLA,122894,1207.731,0,1
2020,8,2,SARDINA ESPAÑOLA,126044,286.078,0,1
2020,10,2,SARDINA ESPAÑOLA,127062,265.341,0,1
2012,1,3,ANCHOVETA,65000,252,0,1
2012,2,3,ANCHOVETA,65000,1313,0,1
2012,3,3,ANCHOVETA,65000,298,0,1
2012,4,3,ANCHOVETA,71000,5023,0,1
2012,5,3,ANCHOVETA,68000,6223,0,1
2012,6,3,ANCHOVETA,71000,1558,0,1
2012,10,3,ANCHOVETA,83000,1737,0,1
2012,11,3,ANCHOVETA,85000,2596,0,1
2013,1,3,ANCHOVETA,90909,3218.455,0,1
2013,2,3,ANCHOVETA,96635,473.951,0,1
2013,3,3,ANCHOVETA,96785,5887.424,0,1
2013,4,3,ANCHOVETA,95860,5568.079,0,1
2013,5,3,ANCHOVETA,94148,451.26,0,1
2013,6,3,ANCHOVETA,101326,4360.49,0,1
2013,7,3,ANCHOVETA,91441,1394.296,0,1
2013,8,3,ANCHOVETA,93342,706.661,0,1
2013,9,3,ANCHOVETA,102478,2.278,0,1
2013,10,3,ANCHOVETA,95206,14.692,0,1
2014,1,3,ANCHOVETA,84433,386.836,0,1
2014,2,3,ANCHOVETA,84457,964.954,0,1
2014,3,3,ANCHOVETA,86211,1000.16,0,1
2014,4,3,ANCHOVETA,86741,292.5,0,1
2014,5,3,ANCHOVETA,86287,293.16,0,1
2014,7,3,ANCHOVETA,90786,81.574,0,1
2014,8,3,ANCHOVETA,95508,358.442,0,1
2014,10,3,ANCHOVETA,113060,34.93,0,1
2014,11,3,ANCHOVETA,115761,6.21,0,1
2015,1,3,ANCHOVETA,116825,25.196,0,1
2015,3,3,ANCHOVETA,131507,44.12,0,1
2015,4,3,ANCHOVETA,124479,833.586,0,1
2015,5,3,ANCHOVETA,120150,3736.82,0,1
2015,6,3,ANCHOVETA,122255,2012.25,0,1
2015,7,3,ANCHOVETA,116921,881.467,0,1
2015,8,3,ANCHOVETA,122002,1475.152,0,1
2015,9,3,ANCHOVETA,125257,1175.565,0,1
2015,12,3,ANCHOVETA,126597,4.43,0,1
2016,1,3,ANCHOVETA,143944,456,0,1
2016,3,3,ANCHOVETA,126223,4625,0,1
2016,4,3,ANCHOVETA,126986,3132,0,1
2016,5,3,ANCHOVETA,126986,2106,0,1
2016,6,3,ANCHOVETA,127641,4873,0,1
2016,7,3,ANCHOVETA,132059,2625,0,1
2016,9,3,ANCHOVETA,295850,1582,0,1
2016,11,3,ANCHOVETA,113257,25,0,1
2017,2,3,ANCHOVETA,110186,48,0,1
2017,3,3,ANCHOVETA,106279,2029,0,1
2017,4,3,ANCHOVETA,108974,970,0,1
2017,6,3,ANCHOVETA,103255,294,0,1
2018,3,3,ANCHOVETA,129829,223.519,0,1
2018,4,3,ANCHOVETA,115514,7276.578,0,1
2018,5,3,ANCHOVETA,109026,3315.844,0,1
2018,6,3,ANCHOVETA,107268,7388.096,0,1
2018,7,3,ANCHOVETA,114030,5865.064,0,1
2018,8,3,ANCHOVETA,112427,2057.829,0,1
2018,9,3,ANCHOVETA,118867,699.565,0,1
2018,12,3,ANCHOVETA,116347,162.394,0,1
2019,1,3,ANCHOVETA,116702,13129.71,0,1
2019,2,3,ANCHOVETA,110749,7106.84,0,1
2019,5,3,ANCHOVETA,120164,9273.37,0,1
2019,6,3,ANCHOVETA,126919,3332.22,0,1
2019,7,3,ANCHOVETA,119655,2421.07,0,1
2019,8,3,ANCHOVETA,120425,1293.07,0,1
2019,12,3,ANCHOVETA,119050,39.45,0,1
2020,1,3,ANCHOVETA,120405,1155.645,0,1
2020,2,3,ANCHOVETA,140441,1819.926,0,1
2020,3,3,ANCHOVETA,152641,8073.123,0,1
2020,4,3,ANCHOVETA,152207,7811.985,0,1
2020,5,3,ANCHOVETA,152767,8688.915,0,1
2020,6,3,ANCHOVETA,148406,3550.315,0,1
2020,7,3,ANCHOVETA,147496,1813.125,0,1
2020,8,3,ANCHOVETA,119505,490.495,0,1
2020,10,3,ANCHOVETA,127365,35.82,0,1
2021,1,3,ANCHOVETA,120171,138.975,0,1
2021,2,3,ANCHOVETA,131098,2024.303,0,1
2021,3,3,ANCHOVETA,131235,437.497,0,1
2021,4,3,ANCHOVETA,130623,8593.295,0,1
2021,5,3,ANCHOVETA,125453,6091.998,0,1
2021,6,3,ANCHOVETA,136158,577.125,0,1
2021,7,3,ANCHOVETA,134667,1162.85,0,1
2021,8,3,ANCHOVETA,135692,683.625,0,1
2021,11,3,ANCHOVETA,145971,1170.955,0,1
2021,12,3,ANCHOVETA,157389,163.836,0,1
2022,3,3,ANCHOVETA,153239,4592.656,0,1
2022,4,3,ANCHOVETA,156031,13788.176,0,1
2022,5,3,ANCHOVETA,171487,11811.016,0,1
2022,6,3,ANCHOVETA,161782,4193.205,0,1
2022,7,3,ANCHOVETA,178871,246.02,0,1
2022,8,3,ANCHOVETA,181840,422.19,0,1
2022,11,3,ANCHOVETA,178983,2778.568,0,1
2022,12,3,ANCHOVETA,173849,1989.004,0,1
2023,2,3,ANCHOVETA,165534,76.835,0,1
2023,3,3,ANCHOVETA,172792,652.805,0,1
2012,11,3,JUREL,180000,15,0,1
2013,1,3,JUREL,117438,270.946,0,1
2013,2,3,JUREL,117180,263.018,0,1
2013,4,3,JUREL,117180,1253.079,0,1
2013,5,3,JUREL,117180,2.155,0,1
2013,6,3,JUREL,119748,373.105,0,1
2015,7,3,JUREL,138180,983.258,0,1
2015,8,3,JUREL,144185,592.417,0,1
2015,9,3,JUREL,148031,386.042,0,1
2015,12,3,JUREL,149615,0.69,0,1
2016,3,3,JUREL,149173,480,0,1
2016,4,3,JUREL,150075,1540,0,1
2016,5,3,JUREL,150075,1458,0,1
2016,6,3,JUREL,150849,1587,0,1
2016,7,3,JUREL,156070,667,0,1
2016,8,3,JUREL,156070,384,0,1
2016,9,3,JUREL,153146,622,0,1
2016,10,3,JUREL,149032,578,0,1
2016,11,3,JUREL,133849,12,0,1
2017,2,3,JUREL,130220,105,0,1
2017,3,3,JUREL,125602,731,0,1
2017,4,3,JUREL,128788,5039,0,1
2017,6,3,JUREL,122029,2106,0,1
2018,3,3,JUREL,153434,9.706,0,1
2018,4,3,JUREL,136516,100.894,0,1
2018,5,3,JUREL,128848,1038.753,0,1
2018,6,3,JUREL,126772,2622.674,0,1
2018,8,3,JUREL,132868,36.024,0,1
2018,11,3,JUREL,144930,316.757,0,1
2018,12,3,JUREL,137501,2094.582,0,1
2019,2,3,JUREL,130885,0.5,0,1
2019,3,3,JUREL,127579,2098.44,0,1
2019,4,3,JUREL,134583,1086.09,0,1
2019,5,3,JUREL,142013,0.2,0,1
2019,6,3,JUREL,149996,9.14,0,1
2019,7,3,JUREL,141411,12.45,0,1
2019,12,3,JUREL,140696,1938.09,0,1
2020,1,3,JUREL,142297,381.21,0,1
2020,2,3,JUREL,165976,1257.975,0,1
2020,3,3,JUREL,180393,3384.831,0,1
2020,4,3,JUREL,179881,8.365,0,1
2021,2,3,JUREL,154934,15.105,0,1
2021,3,3,JUREL,155096,6763.188,0,1
2021,4,3,JUREL,154373,220.245,0,1
2021,5,3,JUREL,148263,1.079,0,1
2021,7,3,JUREL,159151,28.693,0,1
2021,9,3,JUREL,166797,1724.564,0,1
2021,10,3,JUREL,172370,5418.647,0,1
2021,11,3,JUREL,172512,6280.282,0,1
2021,12,3,JUREL,186005,7769.694,0,1
2022,1,3,JUREL,187905,522.061,0,1
2022,2,3,JUREL,181845,4727.585,0,1
2022,3,3,JUREL,181101,2.062,0,1
2022,4,3,JUREL,184400,7.319,0,1
2022,5,3,JUREL,202667,7.894,0,1
2022,7,3,JUREL,211287,1049.959,0,1
2022,8,3,JUREL,214901,1753.478,0,1
2022,11,3,JUREL,211525,2841.17,0,1
2022,12,3,JUREL,205458,12951.307,0,1
2023,2,3,JUREL,195631,2233.012,0,1
2023,3,3,JUREL,204209,4238.028,0,1
2023,4,3,JUREL,195475,159.132,0,1
2023,5,3,JUREL,208679,1512.302,0,1
2023,6,3,JUREL,219476,444.33,0,1
2023,7,3,JUREL,219132,1547.183,0,1
2023,10,3,JUREL,265251,5104.976,0,1
2023,11,3,JUREL,272174,6049.073,0,1
2023,12,3,JUREL,249618,5482.748,0,1
2024,10,3,JUREL,265251,118.645,0,1
