ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2020,3,SARDINA COMUN,134610.29083564138,16180.565,2,4,0.0014319546408916633,0,2020-03-01,35224.99100000004,0,35224.99100000004,5,2,0,1
2020,4,ANCHOVETA,158025.99642539743,6233.699999999998,3,4,0.23712047838680889,0,2020-04-01,53235.635999999984,0,53235.635999999984,4,1,0,1
2020,4,JUREL,184527.939377391,11664.625,2,3,0.30399829878939727,0,2020-04-01,60908.149999999965,60896.64699999997,11.503,2,0,0.999811141858684,1.8885814131606372e-4
2020,4,SARDINA COMUN,147136.51150593703,41298.201,3,5,0.20624793628030996,0,2020-04-01,104305.04799999992,5.725,104299.3229999999,4,2,5.488708465960347e-5,0.9999451129153402
2020,5,ANCHOVETA,169625.7193202451,3286.361,2,3,0.13019594232654988,0,2020-05-01,41502.43499999997,5.041,41497.39399999997,3,1,1.2146275272764127e-4,0.9998785372472724
2020,5,JUREL,180163,2794.6610000000005,1,1,NA,0,2020-05-01,66974.86999999998,66967.25999999998,7.609999999999999,2,0,0.9998863752927031,1.1362470729693095e-4
2020,5,SARDINA COMUN,156196.38603595077,16297.565,2,4,0.04437890093280633,0,2020-05-01,37355.82299999999,45.374,37310.44899999999,4,1,0.001214643296709057,0.998785356703291
2020,6,ANCHOVETA,162337.76491732852,1513.944,2,2,0.11615437445092743,0,2020-06-01,13609.637,0,13609.637,3,1,0,1
2020,6,JUREL,172458,2337.03,1,1,NA,0,2020-06-01,51820.873999999996,51810.274,10.6,2,0,0.9997954492238013,2.045507761987959e-4
2020,6,SARDINA COMUN,149156.28802496206,4610.523999999999,2,3,0.0316067480807189,0,2020-06-01,8706.608999999997,0,8706.608999999997,4,0,0,1
2022,11,ANCHOVETA,140000,2157.399,1,1,NA,0,2022-11-01,22373.05500000001,521.786,21851.26900000001,4,1,0.02332207201922132,0.9766779279807787
2022,11,JUREL,245000,460.799,1,1,NA,0,2022-11-01,2653.804,802.2579999999999,1851.5459999999998,3,1,0.30230491777086776,0.6976950822291321
2022,11,SARDINA COMUN,140000,852.051,1,1,NA,0,2022-11-01,18881.94899999999,24.244,18857.704999999987,4,2,0.001283977623284546,0.9987160223767153
2022,12,ANCHOVETA,140000,22.916,1,1,NA,0,2022-12-01,1273.6409999999998,0,1273.6409999999998,3,0,0,1
2022,12,JUREL,245000,1804.84,1,1,NA,0,2022-12-01,55399.36,44259.238999999994,11140.121,3,1,0.7989124603605527,0.2010875396394471
2022,12,SARDINA COMUN,140000,121.379,1,1,NA,0,2022-12-01,14344.204,0,14344.204,4,1,0,1
2023,3,ANCHOVETA,160000,5684.968,1,1,NA,0,2023-03-01,38083.561,0,38083.561,3,2,0,1
2023,3,JUREL,290000,1290.983,1,1,NA,0,2023-03-01,95917.84100000001,95017.979,899.8619999999999,5,1,0.9906184085190157,0.009381591480984228
2023,3,SARDINA COMUN,160000,23587.057,1,1,NA,0,2023-03-01,206754.27699999974,0,206754.27699999974,5,2,0,1
2023,4,ANCHOVETA,160000,8346.734,1,1,NA,0,2023-04-01,47399.75199999994,0,47399.75199999994,3,1,0,1
2023,4,JUREL,290000,5806.167,1,1,NA,0,2023-04-01,93841.48000000004,93026.96200000004,814.518,4,1,0.9913202775574299,0.008679722442570169
2023,4,SARDINA COMUN,160000,8931.275,1,1,NA,0,2023-04-01,101672.79099999997,0,101672.79099999997,3,1,0,1
2023,5,ANCHOVETA,160000,4273.753,1,1,NA,0,2023-05-01,43375.229999999945,0,43375.229999999945,3,2,0,1
2023,5,JUREL,290000,15996.909,1,1,NA,0,2023-05-01,91945.89899999999,90676.806,1269.0930000000003,2,1,0.9861973941872058,0.013802605812794331
2023,5,SARDINA COMUN,160000,3444.954,1,1,NA,0,2023-05-01,40972.838999999985,0,40972.838999999985,3,1,0,1
2023,6,ANCHOVETA,160000,2334.221,1,1,NA,0,2023-06-01,27267.95599999998,944.661,26323.29499999998,3,1,0.034643630787727565,0.9653563692122724
2023,6,JUREL,290000,4613.623,1,1,NA,0,2023-06-01,78424.89100000003,77007.56400000004,1417.3269999999998,3,1,0.9819275872503286,0.01807241274967152
2023,6,SARDINA COMUN,160000,525.281,1,1,NA,0,2023-06-01,8954.294999999998,638.999,8315.295999999998,4,0,0.07136229038690373,0.9286377096130963
2024,3,ANCHOVETA,190000,2137.582,1,1,NA,0,2024-03-01,37704.742000000006,0,37704.742000000006,3,2,0,1
2024,3,JUREL,300000,9308.235,1,1,NA,0,2024-03-01,104571.62199999997,101778.46599999996,2793.155999999999,3,1,0.9732895412103293,0.026710458789670488
2024,3,SARDINA COMUN,190000,3112.291,1,1,NA,0,2024-03-01,63773.90400000001,0,63773.90400000001,3,2,0,1
2024,4,ANCHOVETA,190000,1276.102,1,1,NA,0,2024-04-01,22415.663,360.381,22055.281999999996,3,2,0.016077195664478003,0.9839228043355218
2024,4,JUREL,300000,19174.806,1,1,NA,0,2024-04-01,122787.62799999988,120360.37499999988,2427.2529999999992,3,1,0.9802321044918304,0.019767895508169615
2024,4,SARDINA COMUN,190000,498.119,1,1,NA,0,2024-04-01,10462.345000000001,128.686,10333.659000000001,4,0,0.012299919377539164,0.9877000806224608
2024,5,ANCHOVETA,190000,3197.828,1,1,NA,0,2024-05-01,37413.006000000016,459.7759999999999,36953.23000000002,3,1,0.012289202316435084,0.987710797683565
2024,5,JUREL,300000,9106.494,1,1,NA,0,2024-05-01,85034.45199999998,83259.93499999995,1774.5170000000003,4,1,0.9791317876664858,0.02086821233351396
2024,5,SARDINA COMUN,190000,262.32,1,1,NA,0,2024-05-01,9202.514,265.264,8937.249999999998,4,0,0.028825166688146307,0.9711748333118536
