ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2012,10,SARDINA COMUN,80062.66638495668,23665,3,7,0.16646503859736464,0,2012-10-01,50721.09699999997,14513.606,36207.49099999997,4,2,0.28614534894621874,0.7138546510537813
2012,11,ANCHOVETA,77934.72966390647,2053,2,3,0.22852340633098117,0,2012-11-01,7308.017999999999,3794.542999999999,3513.475000000001,4,2,0.5192301113653524,0.48076988863464776
2012,11,SARDINA COMUN,83933.62874856665,51453,3,6,0.18550589245540547,0,2012-11-01,108437.95500000002,61749.652,46688.303000000014,5,3,0.5694468509665273,0.4305531490334727
2012,12,ANCHOVETA,91828.57142857143,525,1,2,NA,0,2012-12-01,4835.112999999999,3899.116999999999,935.9959999999996,3,1,0.8064169337924469,0.19358306620755292
2012,12,SARDINA COMUN,91536.99383934446,33438,2,5,0.028395578199127195,0,2012-12-01,60548.53400000001,16546.941000000003,44001.59300000001,5,2,0.27328392459510253,0.7267160754048976
2013,2,ANCHOVETA,221303,3.641,1,1,NA,0,2013-02-01,252.02000000000004,70.09,181.93000000000004,4,0,0.27811284818665183,0.7218871518133482
2013,2,SARDINA COMUN,149998,448.732,1,1,NA,0,2013-02-01,12087.563000000004,1071.941,11015.622000000003,5,1,0.08868131649034629,0.9113186835096536
2013,3,ANCHOVETA,85647.96434929254,6912.177,2,5,0.07583537747874296,0,2013-03-01,21597.034000000003,44.464,21552.570000000003,6,2,0.002058801222427116,0.9979411987775729
2013,3,SARDINA COMUN,99758.36521136691,23975.130000000005,2,6,0.1732855764986839,0,2013-03-01,67779.91399999999,470.75,67309.16399999999,6,3,0.006945272901939652,0.9930547270980603
2013,4,ANCHOVETA,82013.11880925074,2992.3679999999995,2,2,0.044756038036081504,0,2013-04-01,7411.364999999996,0,7411.364999999996,4,1,0,1
2013,4,SARDINA COMUN,87070.0533795839,5303.863,2,3,0.09893819211857616,0,2013-04-01,22539.18099999999,17.96,22521.22099999999,6,2,7.968346321013176e-4,0.9992031653678988
2013,5,ANCHOVETA,87251.4333377628,1151.379,2,2,0.08499690452614879,0,2013-05-01,3483.2170000000006,904.453,2578.7640000000006,5,0,0.25966025085431077,0.7403397491456892
2013,5,SARDINA COMUN,96021.45020975567,4405.602,2,3,0.1468203503244301,0,2013-05-01,19175.103000000003,5677.764999999999,13497.338,5,0,0.2961008866549504,0.7038991133450494
2013,6,ANCHOVETA,90000,610.9680000000001,1,1,NA,0,2013-06-01,2842.523000000001,322.87,2519.6530000000007,3,0,0.11358571241112204,0.8864142875888779
2013,6,SARDINA COMUN,98561.07983755253,1520.738,2,3,0.05606909722794558,0,2013-06-01,10071.040999999997,3301.308,6769.732999999998,4,0,0.3278020613757804,0.6721979386242197
2014,2,ANCHOVETA,88495,615.568,1,1,NA,0,2014-02-01,702.9739999999999,3.486,699.4879999999999,3,0,0.00495893162478271,0.9950410683752173
2014,2,SARDINA COMUN,88498.77288236952,12444.132999999996,2,2,0.013258375826126857,0,2014-02-01,16066.774000000009,83.224,15983.550000000008,4,1,0.005179882408254449,0.9948201175917455
2014,3,ANCHOVETA,90029.25676472133,2663.82,3,5,0.04989174159268227,0,2014-03-01,10666.090999999997,497.58,10168.510999999995,5,1,0.04665064267687198,0.9533493573231279
2014,3,SARDINA COMUN,88099.33058564345,64208.725999999995,4,7,0.04643643276711872,0,2014-03-01,196372.08499999964,7321.98,189050.10499999963,5,3,0.037286256852647935,0.962713743147352
2014,4,ANCHOVETA,93945.84877674106,5722.009999999999,3,5,0.06412972744502612,0,2014-04-01,27781.904000000035,208.384,27573.52000000004,4,1,0.0075007098145612955,0.9924992901854389
2014,4,SARDINA COMUN,89767.7504385856,40355.862,4,7,0.061077771171347425,0,2014-04-01,119650.44299999997,10417.145,109233.29799999997,4,2,0.08706315445902697,0.912936845540973
2014,5,ANCHOVETA,86496.45800546026,1014.2389999999999,3,3,0.07164758903327209,0,2014-05-01,9203.481000000002,973.4789999999998,8230.002,5,1,0.10577291353130404,0.8942270864686959
2014,5,SARDINA COMUN,94918.36737857542,12182.975000000002,4,5,0.058541984648886734,0,2014-05-01,48241.11200000004,18739.271,29501.841000000022,5,2,0.3884502289250709,0.6115497710749288
2014,6,ANCHOVETA,92640.25221905214,75.708,2,2,0.09091952892861505,0,2014-06-01,1436.4690000000007,241.839,1194.6300000000008,4,0,0.1683565743500207,0.8316434256499794
2014,6,SARDINA COMUN,97274.4438162064,7535.713999999999,3,3,0.07308958055534598,0,2014-06-01,42433.87700000003,17375.662000000004,25058.215000000022,4,2,0.4094761833805568,0.5905238166194431
2014,7,SARDINA COMUN,99142.0371941657,11586.871,3,3,0.09294584811082572,0,2014-07-01,41888.491999999984,12038.920999999998,29849.570999999993,3,1,0.28740402017814354,0.7125959798218566
2014,8,SARDINA COMUN,119060,25.4,1,1,NA,0,2014-08-01,37.76800000000001,0,37.76800000000001,3,0,0,1
2014,10,SARDINA COMUN,118828,5387.934,2,2,0,0,2014-10-01,32348.782000000025,1879.939,30468.843000000026,3,1,0.05811467646602579,0.9418853235339743
2014,11,ANCHOVETA,110581.97562306712,54.97,2,2,0.32515062929869337,0,2014-11-01,2850.7519999999995,1316.548,1534.2039999999997,4,0,0.46182480973441403,0.538175190265586
2014,11,SARDINA COMUN,119405.07872871829,16094.685999999998,4,4,0.20716763583033831,0,2014-11-01,44138.743999999984,7019.79,37118.95399999998,4,2,0.1590391878844582,0.8409608121155417
2014,12,SARDINA COMUN,126110.6326067253,3515.1459999999997,4,4,0.2321397565827627,0,2014-12-01,5792.637999999999,330.949,5461.6889999999985,4,0,0.05713269153018022,0.9428673084698197
2015,3,SARDINA COMUN,128093.1463919342,3856.216964,1,2,NA,0,2015-03-01,79484.26,36244.96999999999,43239.29000000001,5,3,0.45600185495845325,0.5439981450415468
2015,4,SARDINA COMUN,114179.71785906445,10997.323,1,2,NA,0,2015-04-01,102946.97500000006,4245.856,98701.11900000008,4,1,0.04124313511883178,0.9587568648811684
2015,5,SARDINA COMUN,116021.46651743492,7602.046,1,2,NA,0,2015-05-01,71163.354,1373.631,69789.723,5,1,0.01930250505056296,0.9806974949494369
2015,7,ANCHOVETA,100327.82536238851,166.39600000000002,2,2,0.12459636547801789,0,2015-07-01,997.9460000000005,36.09,961.8560000000004,4,0,0.036164281434065554,0.9638357185659344
2015,7,SARDINA COMUN,116523.71336793689,2659.8420000000006,3,3,0.10127580921243838,0,2015-07-01,12892.246000000006,1732.915,11159.331000000006,4,1,0.13441529117579662,0.8655847088242034
