"ANIO","MES_NUM","Origen_Especie","Q_Total","P_Promedio"
2018,12,"Sardina",7839.774,134744.5
2019,1,"Jurel",51711.327,240000
2019,1,"Sardina",68.83,612823
2019,2,"Anchoveta",92.641,116019
2019,2,"Sardina",12962.758,182808
2019,3,"Anchoveta",31798.8,143172
2019,3,"Jurel",75045.512,845519
2019,3,"Sardina",108830.061,312964.75
2019,4,"Anchoveta",44711.911,131746.333333333
2019,4,"Sardina",65829.346,303193
2019,5,"Anchoveta",26871.669,136960.666666667
2019,5,"Sardina",32305.721,324299.4
2019,6,"Anchoveta",13108.64,132715.666666667
2019,6,"Sardina",14043.367,303629.4
2019,7,"Anchoveta",4331.212,122358.666666667
2019,7,"Sardina",7664.083,99262.25
2019,8,"Jurel",4029.446,348500
2019,9,"Sardina",14.241,10000
2019,10,"Sardina",467.691,1067124
2019,11,"Anchoveta",28448.712,156470
2019,11,"Sardina",47715.963,88588
2019,12,"Anchoveta",8315.578,152402.666666667
2019,12,"Sardina",30366.257,97867.8333333333
2020,1,"Jurel",80473.198,247857.5
2020,2,"Anchoveta",2591.619,124176
2020,2,"Jurel",102478.116,174001.333333333
2020,2,"Sardina",6170.065,124176
2020,3,"Anchoveta",7767.469,126601.25
2020,3,"Jurel",77125.611,127980
2020,3,"Sardina",35224.991,134101.25
2020,4,"Anchoveta",53235.636,142511.75
2020,4,"Jurel",60908.15,174105.666666667
2020,4,"Sardina",104305.048,140009.4
2020,5,"Anchoveta",41502.435,170037.666666667
2020,5,"Jurel",66974.87,180163
2020,5,"Sardina",37355.823,160028.25
2020,6,"Anchoveta",13609.637,163731.666666667
2020,6,"Jurel",51820.874,172458
2020,6,"Sardina",8706.609,155298.75
2020,7,"Anchoveta",6638.683,174124
2020,7,"Sardina",4312.121,152062
2020,11,"Anchoveta",35925.038,191823
2020,11,"Sardina",30231.04,160911.5
2020,12,"Anchoveta",6567.447,263052
2020,12,"Sardina",27299.391,196526
2021,1,"Jurel",90400.383,240000
2021,3,"Anchoveta",56042.2380000001,158498
2021,3,"Sardina",184713.51,148998.666666667
2021,4,"Anchoveta",48236.97,168097.5
2021,4,"Sardina",95610.4170000002,155398.333333333
2021,5,"Anchoveta",41749.39,176218
2021,5,"Sardina",20628.112,160812
2021,6,"Anchoveta",15501.417,189262
2021,6,"Sardina",5552.879,159631
2021,11,"Sardina",19248.93,130000
2022,3,"Anchoveta",91966.4719999998,140000
2022,4,"Anchoveta",59670.8380000001,140000
2022,5,"Anchoveta",23351.412,140000
2022,6,"Anchoveta",15566.766,140000
2022,11,"Anchoveta",22373.055,140000
2022,11,"Jurel",2653.804,245000
2022,11,"Sardina",18881.949,140000
2022,12,"Anchoveta",1273.641,140000
2022,12,"Jurel",55399.36,245000
2022,12,"Sardina",14344.204,140000
2023,1,"Jurel",98336.596,290000
2023,2,"Jurel",116416.411,290000
2023,3,"Anchoveta",38083.561,160000
2023,3,"Jurel",95917.841,290000
2023,3,"Sardina",206754.277,160000
2023,4,"Anchoveta",47399.7519999999,160000
2023,4,"Jurel",93841.48,290000
2023,4,"Sardina",101672.791,160000
2023,5,"Anchoveta",43375.2299999999,160000
2023,5,"Jurel",91945.899,290000
2023,5,"Sardina",40972.839,160000
2023,6,"Anchoveta",27267.956,160000
2023,6,"Jurel",78424.891,290000
2023,6,"Sardina",8954.295,160000
2023,11,"Anchoveta",24344.918,160000
2023,11,"Jurel",38856.918,290000
2023,12,"Anchoveta",5020.912,160000
2024,1,"Jurel",143748.732,3e+05
2024,3,"Anchoveta",37704.742,190000
2024,3,"Jurel",104571.622,3e+05
2024,3,"Sardina",63773.904,190000
2024,4,"Anchoveta",22415.663,190000
2024,4,"Jurel",122787.628,3e+05
2024,4,"Sardina",10462.345,190000
2024,5,"Anchoveta",37413.006,190000
2024,5,"Jurel",85034.452,3e+05
2024,5,"Sardina",9202.514,190000
2024,6,"Anchoveta",2877.019,190000
2024,6,"Sardina",954.994,190000
