year,month,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD
2017,1,1020718.6785714291,661.194285714286,1543.75
2017,2,963206.2262500001,643.2095,1497.5
2017,3,992465.1156521736,661.202608695652,1501
2017,4,973778.8499999995,655.743333333333,1485
2017,5,937919.1369500008,671.539545454546,1396.67
2017,6,934540.4333333328,665.153333333333,1405
2017,7,939539.7142857135,658.171428571428,1427.5
2017,8,949612.4399999997,644.241818181818,1474
2017,9,913290.7052631587,625.541578947369,1460
2017,10,935663.4856250001,629.5465,1486.25
2017,11,988677.4857142855,633.767619047619,1560
2017,12,1138501.085526315,636.923684210526,1787.5
2018,1,1163826.0390909084,605.528636363636,1922
2018,2,1195665.47387,596.839,2003.33
2018,3,1046977.4880952379,603.445238095238,1735
2018,4,982646.0416666666,600.547619047619,1636.25
2018,5,971736.761904761,626.119047619047,1552
2018,6,1017833.9047619057,636.146190476191,1600
2018,7,1043851.2000000001,652.407,1600
2018,8,1050001.4545454544,656.250909090909,1600
2018,9,1111593.2573529412,680.914705882353,1632.5
2018,10,1088360.1818181816,676.840909090909,1608
2018,11,1070626.96,677.612,1580
2018,12,1040029.9342105261,681.986842105263,1525
2019,1,1022363.3454545452,677.061818181818,1510
2019,2,991019.7949999999,656.3045,1510
2019,3,1014871.4285714295,667.678571428572,1520
2019,4,1075847.2647619054,667.399047619048,1612
2019,5,1127966.2095238103,692.00380952381,1630
2019,6,1107854.4,692.409,1600
2019,7,1072997.1290909098,686.059545454546,1564
2019,8,1017027.2499999995,713.703333333333,1425
2019,9,935770.9944444441,718.442222222222,1302.5
2019,10,935899.8900000002,721.0322727272729,1298
2019,11,1014668.4551,776.53,1306.67
2019,12,1084709.824,770.3905,1408
2020,1,1216920.1704545452,772.647727272727,1575
2020,2,1343890.40625,796.3795,1687.5
2020,3,1372378.8681818172,839.375454545454,1635
2020,4,1427984.7617523817,853.379047619048,1673.33
2020,5,1382687.3552631584,821.8052631578951,1682.5
2020,6,1289791.9047619046,793.7180952380951,1625
2020,7,1130009.890909091,784.729090909091,1440
2020,8,1127951.4880952383,784.6619047619049,1437.5
2020,9,1141541.9142857143,773.402380952381,1476
2020,10,1235608.7464285719,788.2671428571431,1567.5
2020,11,1188193.0166666668,762.884761904762,1557.5
2020,12,1128549.8879999998,734.733,1536
2021,1,1163116.27,723.556,1607.5
2021,2,1217625.6524999999,722.6265,1685
2021,3,1181557.9226695658,726.366086956522,1626.67
2021,4,1144939.6726190473,707.845238095238,1617.5
2021,5,1216183.09625,712.2595,1707.5
2021,6,1209696.5925,726.5445,1665
2021,7,1220403.8244047617,750.440476190476,1626.25
2021,8,1282817.3590909094,779.828181818182,1645
2021,9,1292983.2142857136,783.62619047619,1650
2021,10,1341390.424,813.9505,1648
2021,11,1389588.342857143,812.624761904762,1710
2021,12,1443507.2380952383,849.121904761905,1700
2022,1,1419409.0735,822.05,1726.67
2022,2,1396227.64,807.068,1730
2022,3,1440135.6791304352,799.187391304348,1802
2022,4,1483523.86,815.123,1820
2022,5,1518284.625,849.39,1787.5
2022,6,1528545.249,857.7695,1782
2022,7,1729784.6029761897,953.70619047619,1813.75
2022,8,1615173.1590909096,904.352272727273,1786
