year,month,P_anchoveta,P_sardina,P_jurel,Q_anchoveta,Q_sardina,Q_jurel,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,Date,IPC_index,P_anchoveta_real,P_sardina_real,P_jurel_real,P_FOB_real
2013,12,122623,232085.00000000015,297824.1432406243,3609.000999999999,24428.419000000005,7999.157000000002,769026.8512500001,529.4505,1452.5,2013-12-01,104.5854148245825,117246.75013783836,221909.52762320472,284766.42153225135,735309.8446278215
2014,1,141985.16444688456,89999.99999999997,219999.99999999985,2.656,43.97500000000001,31786.824000000015,900061.5181818174,537.029545454545,1676,2014-01-01,104.79458565423168,135489.02699550023,85882.29958459281,209934.51009567126,858881.6994339366
2014,2,88494.99999999997,89332.50000000007,219999.99999999985,702.9739999999998,16066.774000000009,39398.319000000025,848245.005,554.4085,1530,2014-02-01,105.31855858250283,84026.0265532177,84821.23303085292,208890.05979668783,805408.8628031448
2014,3,93184.50000000004,85588.88888888882,219999.99999999985,10666.090999999997,196372.08499999964,25714.730000000018,902149.3333333328,563.843333333333,1600,2014-03-01,106.16110705116286,87776.49610896679,80621.69966599958,207232.20217925377,849792.6956418743
2014,4,95045.50000000004,87267.55555555563,219999.99999999985,27781.90400000004,119650.44299999996,60964.412999999986,899904.9452380945,554.640952380952,1622.5,2014-04-01,106.79807369346983,88995.51903229843,81712.66815732053,205996.22483027214,842622.8246597291
2014,5,95886.50000000007,94081.71428571436,219999.99999999985,9203.481,48241.11200000003,40609.842,930298.35,555.402,1675,2014-05-01,107.11846791455022,89514.44308976672,87829.592895937,205380.08457654255,868476.1536564459
2014,6,94844.99999999993,93400.8333333333,219999.99999999985,1436.4690000000007,42433.87700000003,18459.384,1042524.3833333328,553.063333333333,1885,2014-06-01,107.22558638246475,88453.70139706739,87106.85246353448,205174.90966687573,972272.0280724183
2014,7,96266.00000000007,98814.80000000008,213434.15904344225,2024.5330000000008,41888.49199999999,8554.958999999995,1063944.794545455,558.208181818182,1906,2014-07-01,107.44003755522968,89599.74530026986,91972.04529010353,198654.2111303025,990268.4499700894
2014,8,107838.26565381324,119060,219999.99999999985,98.942,37.768,973.058,1094408.28,579.052,1890,2014-08-01,107.76235766789537,100070.44016812606,110483.84851315334,204152.92014861177,1015575.6645309986
2014,9,115112.31483990591,50938.90873824104,209318.31553423093,0.773,0.631,123.646,1070616.272,593.468,1804,2014-09-01,108.62445652923853,105972.74179127518,46894.51194126783,192699.06816784723,985612.5463898837
2014,10,107641.99999999996,107574.49999999993,219999.99999999985,2290.498999999998,32348.782000000025,1155.45,1238958,589.98,2100,2014-10-01,109.71070109453092,98114.40354141162,98052.87809373275,200527.38502731785,1129295.4904485266
2014,11,104926.00000000006,106702.99999999996,203578.14838186695,2850.7519999999995,44138.743999999984,0,1415978.205,592.4595,2390,2014-11-01,109.71070109453092,95638.8018244381,97258.51620259047,185559.06247145048,1290647.30320148
2014,12,114529.99999999993,114895.6,167265,390.2230000000001,5792.637999999999,16240.833000000008,1473457.276,612.919,2404,2014-12-01,109.2718582901528,104811.98159537566,105146.55996323802,153072.34874312862,1348432.5233011828
2015,1,524522.0698057187,176276.43042101432,199337.6432934756,221.374,208.757,21074.339999999993,1375314.5952380956,620.909523809524,2215,2015-01-01,109.38113014844295,479536.15865358233,161157.98966584698,182241.34548888932,1257360.0157281547
2015,2,524522.0698057187,467242.5000000003,200000.0000000001,127.823,17016.05600000001,914.757,1442115.46875,623.6175,2312.5,2015-02-01,109.81865466903673,477625.65602946444,425467.3319465995,182118.4211396007,1313178.9613487252
2015,3,524522.0698057187,275324.0000000002,200000.0000000001,2413.6749999999997,79484.26,2434.5719999999997,1330333.8298590914,628.503181818182,2116.67,2015-03-01,110.47756659705095,474776.994065074,249212.58539681626,181032.22777296294,1204166.4845056452
2015,4,524522.0698057187,224165.99999999988,199042.63759185027,27988.31400000001,102946.97500000006,47534.73600000001,1207325.0438095238,614.727619047619,1964,2015-04-01,111.14043199663325,471945.32213228033,201696.17480593425,179091.11384224222,1086305.876376382
2015,5,486228.8411501111,199321.00000000003,198690.50654925755,15680.545,71163.35399999999,39922.18200000001,1111902.2210526313,607.596842105263,1830,2015-05-01,111.36271286062653,436617.27400502516,178983.60670277104,178417.44462342988,998451.0905766163
2015,6,429575.0861660736,295080.6666666667,198338.9984700288,1583.5369999999998,13037.4,53012.099,1058391.2000000002,629.994761904762,1680,2015-06-01,111.91952642492966,383824.96771393355,263654.3202893133,177215.7234806254,945671.6212160878
2015,7,415514.66666666634,269975.7999999999,197988.1122520655,997.9460000000004,12892.246000000005,23908.95199999999,1050788.0403409083,650.139545454545,1616.25,2015-07-01,112.36720453062938,369782.86360537173,240262.09526856127,176197.41727943168,935137.6540247395
2015,8,316369.88135203195,543693.0000000001,197637.84679521777,63.361,4677.280000000001,27841.280000000013,1156034.3999999997,688.115714285714,1680,2015-08-01,113.15377496234377,279592.86506995995,480490.3770828102,174663.06083114707,1021648.9908398673
2015,9,263734.9180545376,66249.53711901193,197288.2010012825,40.596,33.95,194.066,1188044.6392857132,691.729047619047,1717.5,2015-09-01,113.71954383715548,231916.96796832184,58256.94940693763,173486.6271393033,1044714.5663782944
2015,10,126880.99999999993,128296.5000000001,196939.1737739989,1656.5610000000008,34077.630999999994,173.91600000000005,1269544.7142857148,685.314285714286,1852.5,2015-10-01,114.1744220125041,111129.0933323965,112368.8631293876,172489.74884447464,1111934.4349706254
2015,11,441405.3333333332,121784.19999999994,196590.7640190468,9860.358,79735.07600000019,112.1,1376324.6547619049,704.002380952381,1955,2015-11-01,114.1744220125041,386606.1465894626,106665.04621031709,172184.5931460171,1205457.9567840276
2015,12,118239.5000000001,118204.9999999999,196242.97064404105,3558.8079999999995,23926.19099999999,9773.548,1295797.9200000002,704.238,1840,2015-12-01,114.1744220125041,103560.41039301327,103530.19346754772,171879.97730573054,1134928.3816458362
