year,month,P_anchoveta,P_sardina_comun,P_jurel,Q_anchoveta,Q_jurel,Q_sardina_comun
2018,5,146284,117008.6,230000,7508.449,65005.523,31355.128
2018,6,155509,129720,230000,5597.892,48548.882,23661.932
2018,7,90000,98620.6666666667,210000,16.051,44127.09,1343.479
2018,8,129901.703023104,141275.024671781,210000,0.715,14828.786,60.001
2018,9,174364.865823737,107651.554035215,210000,98.484,474.976,161.82
2018,10,133029,119849.2,198224.192606426,1658.615,30.945,12456.343
2018,11,127084.333333333,119196.428571429,218190.194719502,15864.485,12.635,47184.3310000001
2018,12,142992.666666667,130350.714285714,210000,1416.973,48958.817,7839.774
2019,1,97394.8583601698,163088.056198911,235000,199.34,51711.327,68.83
2019,2,116019,182808,230000,92.641,69625.814,12962.758
2019,3,143172,245309.833333333,227363.915499713,31798.8,75045.512,108830.061
2019,4,131746.333333333,247995,230000,44711.911,57823.213,65829.346
2019,5,136960.666666667,204457.178487558,230000,26871.669,47759.852,32305.721
2019,6,132715.666666667,158629.55041704,230000,13108.64,57879.616,14043.367
2019,7,122358.666666667,101409.8,230000,4331.212,38361.758,7664.083
2019,8,151733.211984848,111056.51609595,348500,106.595,4029.446,10.86
2019,9,188810.413619004,44487.554701295,300466.936992933,80.719,60.073,14.241
2019,10,142970.820414878,97485.4338314632,263208.186502551,104.166,22.408,467.691
2019,11,156470,92156.6666666667,258394.881217409,28448.712,575.264,47715.963
2019,12,152402.666666667,100900.875,230000,8315.578,16978.401,30366.257
2020,1,108339.79340955,132003.166423684,241905,35.725,80473.198,78.443
2020,2,124176,124176,188001,2591.619,102478.116,6170.065
2020,3,126601.25,139067.5,161986.666666667,7767.469,77125.611,35224.991
2020,4,142511.75,142578.142857143,188079.25,53235.636,60908.15,104305.048
2020,5,170037.666666667,156352.166666667,180163,41502.435,66974.87,37355.823
2020,6,163731.666666667,156032.5,201229,13609.637,51820.874,8706.609
2020,7,174124,157374.666666667,210000,6638.683,24631.676,4312.121
2020,8,197617.38008721,193377.477781288,233328.450717609,383.576,6927.787,332.184
2020,9,231954.613028843,153226.76255638,205885.599909681,214.77,900.75,24.611
2020,10,186254.638019484,167833.560376673,191491.677481482,665.724,0,8246.539
2020,11,191823,163274.333333333,210246.835957113,35925.038,1411.473,30231.04
2020,12,263052,187017.333333333,210000,6567.447,23264.142,27299.391
2021,1,205810.872085149,194900.41630343,240000,978.806,90400.383,753.226
2021,2,204032.727473621,164927.721424218,240000,1155.092,84373.059,4135.686
2021,3,158498,148998.666666667,240000,56042.2380000001,72789.49,184713.51
2021,4,168097.5,155398.333333333,240000,48236.97,72246.508,95610.4170000002
2021,5,176218,160812,240000,41749.39,70916.722,20628.112
2021,6,189262,159631,240000,15501.417,65446.401,5552.879
2021,7,144209,144209,244634.087773654,3353.351,37352.678,1719.89
2021,8,166822.986577902,177948.005262439,282434.427949005,52.107,795.2,5.588
2021,9,201165.484086061,136331.801440335,267107.77699565,16.188,59.688,2.603
2021,10,156395.28951937,150977.488116367,265355.844198938,338.657,9.5,4915.918
2021,11,161025,145512.5,297149.538957646,7250.078,72.262,19248.93
2021,12,162192,153533.426563142,311575.455454674,536.807,31153.926,6931.957
2022,1,146742.827706251,181686.172719447,350000,33.513,97014.663,13.217
2022,2,186161,174062,329296.615382858,1048.195,78072.562,14733.465
2022,3,161695.5,182376,318029.805473093,91966.4719999998,82880.506,110846.897
2022,4,168052.5,185527,313991.897313885,59670.8380000001,65485.175,33162.711
2022,5,171073,197958,301803.983148822,23351.412,90509.648,10287.694
2022,6,173214.5,186367,299251.171934778,15566.766,72138.651,12472.874
2022,7,228717,231917,282414.372202069,1877.418,55775.654,1201.318
2022,8,237940.758360022,253874.909641481,299137.723324272,1059.206,13262.097,24.739
2022,9,259777.685726137,201275.927453406,260378.3937146,23.488,2876.587,0.363
2022,10,203429,206435,235718.109753795,526.989,170.68,7973.253
2022,11,172375,171824.5,245000,22373.055,2653.804,18881.949
2022,12,165320,164905.5,245000,1273.641,55399.36,14344.204
2023,1,152203.585183286,196477.35132863,290000,558.589,98336.596,137.907
2023,2,193000,193000,290000,1039.854,116416.411,5676.291
2023,3,176500,176500,290000,38083.561,95917.841,206754.277
2023,4,181000,181000,290000,47399.7519999999,93841.48,101672.791
2023,5,188500,188500,290000,43375.2299999999,91945.899,40972.839
2023,6,190500,190500,290000,27267.956,78424.891,8954.295
2023,7,231000,231000,284233.821846049,6538.208,21642.242,2165.456
