"","ANIO","MES","SST_Costa","SST_Oceano","Clorofila","viento_velocidad"
"1",2012,1,15.2485853885801,15.7174682217294,5.8601593021472,5.99681765716613
"2",2012,2,14.4165793364632,15.3441262713553,4.90950342157756,5.53715910435866
"3",2012,3,14.0101807734388,14.9417292402747,6.57656217268141,8.59796983689784
"4",2012,4,11.9494505622269,12.7884038746719,5.58037474282508,6.49396390607251
"5",2012,5,12.654115745993,13.2423559003323,2.16746237022171,6.77096621312111
"6",2012,6,11.7545313667558,12.3383155077438,1.70604058436298,7.44615868275887
"7",2012,7,10.8441789902707,11.3406028776753,2.86862338020381,7.34539739000816
"8",2012,8,10.7552846066744,11.0390353335959,2.78960215925804,6.25762239830801
"9",2012,9,11.6357201155586,11.6990097023784,4.26196779889501,6.03551915847692
"10",2012,10,12.3804582954054,12.5322305974193,6.1635337859589,5.058103282491
"11",2012,11,13.0803524170381,13.3999390992521,6.86720458865566,6.71125139486089
"12",2012,12,14.6769797957442,15.027784440883,3.49436275555388,6.63108711929184
"13",2013,1,14.5791490128394,15.2762572529217,8.23283627104517,6.59604926564611
"14",2013,2,14.5085072222199,15.300927868403,6.33222686978311,7.51137300052593
"15",2013,3,13.16505900118,14.079268919007,9.27180707786182,6.19227281967739
"16",2013,4,12.9866348218483,13.8566056709765,6.87889318192775,5.61521741793952
"17",2013,5,12.8332799973557,13.4572344435324,2.18623089263728,5.74834979324939
"18",2013,6,11.2139487764488,11.8727119798131,2.26917710193154,8.36729904697383
"19",2013,7,10.7262457162392,11.1889918191271,3.03128667169319,8.83193208713034
"20",2013,8,10.5482711033565,10.8674466593589,3.10074802837114,6.44990677007964
"21",2013,9,11.0767757249479,11.2402186950602,5.293379092836,5.36267831232949
"22",2013,10,11.7283167079221,11.8611254912078,6.92656628885106,6.21706095039333
"23",2013,11,12.8634072032395,13.0232257224914,6.45285429299451,7.58816835652695
"24",2013,12,13.3081048883057,13.6489511395766,7.55470623305038,6.03499067315816
"25",2014,1,14.2510735960377,14.8654105732562,6.98633176068066,7.23497402128331
"26",2014,2,13.912638694253,14.7482283191033,8.59139885298046,7.8531823940791
"27",2014,3,12.632036388336,13.5243740664007,6.59040590360516,6.93153362458615
"28",2014,4,12.3509404114344,12.997876679948,5.06567481919073,6.10612599059762
"29",2014,5,11.9036359917122,12.3671269142541,3.6370869800384,5.73218806945927
"30",2014,6,11.7407477008024,12.2378586173574,2.12831683856257,7.52681818945669
"31",2014,7,11.0631138729382,11.4653099601602,2.17257276068267,8.10776352099165
"32",2014,8,11.4036536943718,11.5438509131271,2.9008532154844,6.40065177871072
"33",2014,9,12.1094330158188,12.1653155553728,3.76172666156688,6.20357584709931
"34",2014,10,12.8796677306365,13.0391883098955,5.78418381350441,6.94899138523523
"35",2014,11,13.0641741784083,13.5156617488932,7.81740580942062,7.09218457587496
"36",2014,12,13.8173717584872,14.2173922351561,10.0209389914441,7.43878954827216
"37",2015,1,13.9746999069548,14.5483226386887,7.79027148821541,6.81119410320152
"38",2015,2,13.4775041919978,14.3539454372721,8.22209962728387,6.3765953458606
"39",2015,3,14.2180132994789,14.9978878919582,7.37473174172845,5.75984987244765
"40",2015,4,13.9877857454949,14.6608374329033,6.37817812920458,6.02339640097359
"41",2015,5,12.8410651888999,13.8092500315405,2.78043989581893,6.39265914862319
"42",2015,6,12.2326940540793,13.0223748513997,3.00359109083689,6.62921075195185
"43",2015,7,11.2714167741648,11.899746437524,2.34267876891831,7.80794158228544
"44",2015,8,11.617218905464,11.9365988128373,1.97889369285952,6.9944289240071
"45",2015,9,11.7123019633039,11.9616274017304,5.59999003036405,6.66949101800653
"46",2015,10,12.7532728078965,12.8991606621671,7.78808642450593,6.50704031618001
"47",2015,11,13.3712110682184,13.6279206201759,8.67056338141914,6.27366719648087
"48",2015,12,13.7855658747596,14.2541429575984,9.29049864887208,6.22666375938558
"49",2016,1,15.8612962232362,16.3257564385479,9.46293460426652,7.18357762396079
"50",2016,2,14.6860829926064,15.4453634132128,8.74976551530147,6.88447511946841
"51",2016,3,13.4319902014548,14.2526372894725,8.14049565438946,6.15709354605522
"52",2016,4,12.7061249595446,13.1822358587447,5.51044298217458,4.96080645752705
"53",2016,5,13.0710769231802,13.4349910749245,5.87573769797077,4.02340649218489
"54",2016,6,12.1296530165761,12.7219724608067,3.39359445716638,5.7069326690407
"55",2016,7,11.2422613883441,11.6830167414797,2.38085136862967,6.0818485370763
"56",2016,8,11.5914654401331,11.8705551119702,1.82641511535331,7.4189156350441
"57",2016,9,12.0147230039144,12.192442105789,4.69627326513654,5.82805865568278
"58",2016,10,13.0175247601514,13.2056882474204,5.10750626829475,5.83093098353483
"59",2016,11,13.301633821226,13.725490292711,5.69535740009941,7.03557405080466
"60",2016,12,14.6205222305081,15.1444457299266,4.54434789473652,5.16078646363458
"61",2017,1,14.8072705502391,15.6376116876009,6.32257997357871,5.36018005415454
"62",2017,2,15.1265613340296,16.1428355074764,5.49193014338942,5.30145225741376
"63",2017,3,14.913365778318,16.0327201113615,4.72319073269651,3.66808441002135
"64",2017,4,14.2049731669948,15.2045591900759,3.76268834408575,5.67873314711509
"65",2017,5,13.6324480044335,14.5471398742408,2.37369981790765,4.82987034958281
"66",2017,6,12.2155705705544,12.8876840438753,1.74730481256471,6.76086278367825
"67",2017,7,11.5260935714268,12.0560145702433,2.29818828280874,8.65262289378966
"68",2017,8,11.3204371755422,11.6412788908774,1.76702301729465,6.36473897035736
"69",2017,9,11.4746819664414,11.5841727176867,3.70847583081257,7.02402661018842
