ANIO,MES,FECHA,P_HARINA_REAL,SST_MACRO,CHL_A_MACRO,WIND_SPEED_MACRO,PRECIO_DIESEL_REAL,DEFLACTOR,PRECIO_REAL_MACRO_JUREL,PRECIO_REAL_MACRO_ANCHOVETA,PRECIO_REAL_MACRO_SARDINA COMUN,Q_MACRO_JUREL,Q_MACRO_ANCHOVETA,Q_MACRO_SARDINA COMUN,SHARE_INDUSTRIAL_JUREL,SHARE_INDUSTRIAL_ANCHOVETA,SHARE_INDUSTRIAL_SARDINA COMUN,ln_P_ANCHOVETA,ln_P_JUREL,ln_P_SARDINA,ln_Q_ANCHOVETA,ln_Q_JUREL,ln_Q_SARDINA,ln_P_HARINA,TENDENCIA,D_VEDA,D_TEMPORADA_ALTA,FACTOR_MES,ln_Q_ANCHOVETA_LAG1,ln_Q_JUREL_LAG1,ln_Q_SARDINA_LAG1
2012,1,2012-01-01,1057021.5945932628,15.424847148937053,4.702881404750428,6.126124860650783,1071.7322593384058,0.5952396173964261,275519.2954348954,NA,NA,67350.71600000001,NA,NA,0.9920385256186436,NA,NA,NA,12.526412942998777,NA,NA,11.117668812813925,NA,13.870965694722456,1,FALSE,FALSE,1,NA,NA,NA
2012,2,2012-02-01,1025222.7448076092,14.820302322785023,3.3486207675656656,6.115626307113526,1070.9135960932676,0.5976205758660117,NA,103744.75462153528,111320.36786271574,NA,257.86599999999993,34840.46299999999,NA,0.969185545981246,0.5334378019029198,11.549688878950132,NA,11.620167520186252,5.552440070152224,NA,10.458534720200754,13.840420458953234,2,FALSE,FALSE,2,NA,11.117668812813925,NA
2012,3,2012-03-01,1051743.431576833,14.431441683735072,4.702373282319338,8.786364278060937,1082.1357445553226,0.5988158170177438,98527.79155673462,104698.04500666188,106245.31579792836,25882.192000000003,6729.8769999999995,246995.89999999973,0.9881675400599762,0.15651043845229276,0.05713175400887226,11.558835724350601,11.498093935148088,11.573505999207088,8.814312146097315,10.161310443637078,12.41712701628206,13.865959756200875,3,FALSE,TRUE,3,5.552440070152224,NA,10.458534720200754
2012,4,2012-04-01,1131055.7965422478,12.36185614492418,3.9154033869075175,6.3354629336315735,1118.445335292324,0.5994146328347614,NA,108120.90631270388,112775.22598201068,NA,30577.223999999987,190814.7750000001,NA,0.064297269104612,0.1218502288410318,11.59100538282569,NA,11.63315196610532,10.328010697075992,NA,12.159058472105144,13.938662087694158,4,FALSE,TRUE,4,8.814312146097315,10.161310443637078,12.41712701628206
2012,5,2012-05-01,1267153.9330491985,12.955484283334322,1.7867660035669577,6.989055508045797,1094.755556594655,0.5994146328347614,NA,104285.71008887832,118726.59674104488,NA,10886.609000000002,60009.51300000002,NA,0.06772182228644383,0.2881722102960573,11.554889623825627,NA,11.684578622398647,9.29528878084293,NA,11.002258378636515,14.052283946042799,5,FALSE,TRUE,5,10.328010697075992,NA,12.159058472105144
2012,6,2012-06-01,1391792.8491672997,12.031384126941534,1.473820289740971,7.292066547862764,1050.3602505234392,0.597616388936257,NA,109550.104528232,138794.0806402357,NA,2786.318,31836.169,NA,0.19701268842967673,0.5885128640949231,11.604137299183193,NA,11.840746679461265,7.932476289965301,NA,10.368358312367487,14.146103293549038,6,FALSE,TRUE,6,9.29528878084293,NA,11.002258378636515
2012,7,2012-07-01,1403489.4926374962,11.126484673401723,2.107313402555108,6.747583940624063,975.6676871560696,0.597616388936257,NA,118805.30941659468,126935.8808866922,NA,2110.4800000000014,43739.299000000035,NA,0.20481833516545983,0.19646510567076056,11.685241376970898,NA,11.751437363040543,7.654670688750266,NA,10.686002267581985,14.154472188213475,7,FALSE,TRUE,7,7.932476289965301,NA,10.368358312367487
2012,8,2012-08-01,1347849.7331682805,10.905127420686652,2.072582972263568,6.9259080609696255,1013.7787544307372,0.5988116217141295,NA,130257.99295063935,129375.36280933462,NA,302.07800000000003,19686.011999999995,NA,0.7881639841365474,0.48531784903920633,11.777272323956502,NA,11.770473247321197,5.710685262172507,NA,9.887663611759223,14.11402109032994,8,TRUE,FALSE,8,7.654670688750266,NA,10.686002267581985
2012,10,2012-10-01,1291696.0662743684,12.406217478002551,4.443755290272769,5.362507811605119,1045.001984263884,0.6072237273759696,NA,129352.49251349174,131850.35889644173,NA,7392.5039999999935,50721.09699999997,NA,0.05206422614042553,0.28614534894621874,11.770296456956867,NA,11.789422913783353,8.908221792815427,NA,10.834097217426109,14.071466692829055,10,FALSE,FALSE,10,5.710685262172507,NA,9.887663611759223
2012,11,2012-11-01,1312409.1151998795,13.163576643623596,4.927819207115512,6.7861841060011345,1053.935881487074,0.6041876087390898,NA,128990.9434365138,138919.81155279244,NA,7308.017999999999,108437.95500000002,NA,0.5192301113653524,0.5694468509665273,11.767497474960761,NA,11.841652150341055,8.89672738054905,NA,11.59393344507993,14.087375025488335,11,FALSE,FALSE,11,8.908221792815427,NA,10.834097217426109
2012,12,2012-12-01,1666272.121207638,14.81880837521634,2.6137039535465845,7.501441157851518,1034.3641461039565,0.6041876087390898,NA,151986.84994585242,151504.25549173,NA,4835.112999999999,60548.53400000001,NA,0.8064169337924469,0.27328392459510253,11.931549282571774,NA,11.928368992591395,8.483659778865583,NA,11.011200537292597,14.326099426430524,12,FALSE,FALSE,12,8.89672738054905,NA,11.59393344507993
