ANIO,MES,NM_RECURSO,Precio_Real,Q_Mercado,D_Shock,P_Harina,P_Diesel,SST,Viento
2012,1,JUREL,312643.2224435449,67118.57,0,1057021.5945932628,1085.2772247008684,14.795716313599025,6.030405856426803
2012,2,ANCHOVETA,103744.75462153528,255.91999999999993,0,1025222.7448076092,1086.1406487877186,14.42879835738546,5.873971982520215
2012,2,JUREL,348046.91873031197,40430.758999999976,0,1025222.7448076092,1086.1406487877186,14.428798357385462,5.873971982520215
2012,2,SARDINA COMUN,113555.75225298511,31719.280999999995,0,1025222.7448076092,1094.3048029125805,14.500656055112945,6.28733197940588
2012,3,ANCHOVETA,109683.96798950876,6355.603999999999,0,1051743.4315768327,1090.9865461697411,14.223894510824909,8.812925412967449
2012,3,JUREL,98527.79155673462,258.15,0,1051743.4315768327,1047.400523125152,15.146481467425945,6.151968592924904
2012,3,SARDINA COMUN,109839.98691752457,240028.97099999973,0,1051743.4315768327,1092.8630723778647,14.252630249528877,8.892950132677912
2012,4,ANCHOVETA,118590.68787157748,30507.76999999999,0,1131055.7965422478,1132.1748697131027,11.912684948465799,6.832244145969045
2012,4,SARDINA COMUN,116858.57543259389,184713.7390000001,0,1131055.7965422478,1134.3406923808286,11.904036243613557,6.766417911268023
2012,5,ANCHOVETA,121148.14942393542,10695.451000000001,0,1267153.9330491985,1104.4803060140418,12.828071566284894,5.78718209432984
2012,5,SARDINA COMUN,124458.97562670255,59107.98200000002,0,1267153.9330491985,1109.9270985344033,12.848021597552457,5.810926670445578
2012,6,ANCHOVETA,129188.58650582633,2724.8869999999997,0,1391792.8491672997,1061.8836002285188,12.394080488881325,7.756925574723804
2012,6,SARDINA COMUN,138527.85396435187,31133.369,0,1391792.8491672997,1065.4509356636338,12.251765831289939,7.723835780764683
2012,7,ANCHOVETA,127467.17124647068,1925.8370000000011,0,1403489.4926374962,989.9326908571468,11.49877413156588,6.6231984945734235
2012,7,SARDINA COMUN,129897.67868205515,43550.827000000034,0,1403489.4926374962,990.6697216320334,11.446844058199238,6.53781388170252
2012,8,ANCHOVETA,143428.28647319897,296.47,0,1347849.7331682802,1027.2011726145931,11.05414261259878,7.614961336573437
2012,8,SARDINA COMUN,135318.5043789122,19685.511999999995,0,1347849.7331682802,1033.3912973924607,10.934742117286168,7.5396998846245635
2012,8,SARDINA ESPAÑOLA,NA,0,0,1347849.7331682802,NA,NA,NA
2012,9,ANCHOVETA,139164.5223831617,34.339,0,1255098.261373173,1084.3235702354682,11.936941782041238,6.587973329492103
