ANIO,MES,SST_MACRO,CHL_A_MACRO,WIND_SPEED_MACRO,WIND_MAX_MACRO,SST_SD,CHL_A_SD,N_REGIONES,N_DIAS,SST2,CHL_A2,WIND2,SST_X_CHL,SST_X_WIND,PRECIO_DIESEL_MACRO,N_REGIONES_DIESEL
2012,1,15.424847148937053,4.702881404750428,6.126124860650783,7.944691983509241,1.5718521884158487,4.47876197892973,6,279,237.92590956807152,22.117093507147363,37.52940580828358,72.54122682785372,94.49453959084164,637.9375,8
2012,2,14.820302322785025,3.3486207675656656,6.115626307113526,8.168424433114794,1.13626298888348,2.6648195973361095,6,261,219.64136093874723,11.213261044972068,37.40088512825903,49.62757213967961,90.6354307645998,640,8
2012,3,14.431441683735073,4.702373282319338,8.786364278060937,10.816488433507825,1.4356057095265589,4.261471147413776,6,279,208.26650907104622,22.112314486270748,77.20019722678529,67.86202579894541,126.79990369088942,648,8
2012,4,12.361856144924179,3.9154033869075175,6.3354629336315735,8.442152267237043,1.02802558421365,3.7342923720365784,6,270,152.8154873477997,15.33038368220686,40.13809058341958,48.40165341829964,78.31808139705284,670.4125,8
2012,5,12.955484283334322,1.7867660035669575,6.989055508045797,9.335203560371982,1.1022942189058076,1.800679444926369,6,279,167.84457301572263,3.1925327515026365,48.846896894545296,23.148418877207792,90.5465987898385,656.2125,8
2012,6,12.031384126941534,1.4738202897409707,7.292066547862764,9.250514106017574,1.381620257780072,1.3250397024181926,6,270,144.7542040100207,2.172146246452159,53.174234538459174,17.732098039953886,87.73365371655741,627.7125,8
2012,7,11.126484673401723,2.107313402555108,6.747583940624063,8.689230907752933,1.146879900787179,1.6011601947285126,6,279,123.79866118744346,4.440769776588386,45.52988903576775,23.446990275583445,75.07688929784524,583.075,8
2012,8,10.905127420686652,2.072582972263568,6.9259080609696255,8.935985998883284,0.7702968926484254,2.789890398976232,6,279,118.9218040614119,4.295600176916886,47.96820246900404,22.601781402479677,75.52790990883459,607.0625,8
2012,9,11.62725133796012,3.3412291688155604,6.56101420759147,8.181396855478228,0.639236227348334,3.5856662789272096,6,270,135.1929736760954,11.16381235854392,43.04690743221713,38.8493113235421,76.28656122359328,646.0375,8
2012,10,12.406217478002553,4.443755290272769,5.362507811605119,7.2915312089856075,0.7287155165358304,4.208050213207483,6,279,153.91423211149603,19.74696107982722,28.756490029525924,55.13019455014833,66.52843813826065,634.55,8
2012,11,13.163576643623596,4.927819207115512,6.7861841060011345,8.808076412387269,0.8661815867449981,4.315779167639783,6,270,173.27975005255266,24.28340213801655,46.05229472054242,64.8677258187855,89.3304545970862,636.775,8
2012,12,14.818808375216339,2.6137039535465845,7.501441157851518,9.380741591463266,0.9220114187198889,2.6952769346175804,6,279,219.5970816613819,6.831448356785046,56.271619444708726,38.73197803715218,111.16241905616263,624.95,8
2013,1,14.821396695901235,6.421660492518251,6.843352144211648,8.788908879601056,1.4865977292025963,5.0068202117365255,6,279,219.67380001727204,41.23772348116975,46.831468569686166,95.1779776060095,101.42803685910715,623.0701230615457,8
2013,2,14.773967471711291,4.673624583639967,7.278704152545062,9.132000958245692,1.8859145704309046,4.106858857833586,6,252,218.27011485518332,21.842766748803854,52.97953414027673,69.04797757368709,107.53533838591065,634.3511574380283,8
2013,3,13.533868311542534,6.336686245507254,5.85250524543208,7.9184310094527435,1.2436940803442953,5.092198484568346,6,279,183.16559147417516,40.15359257400082,34.25181764781001,85.75987717825805,79.20703528428969,661.1108821821392,8
2013,4,13.413993183944877,4.729358206022182,5.8159050973788995,8.05784709424989,0.7680877774183691,5.321251155531847,6,270,179.9352131389196,22.36682904086935,33.82475210171787,63.43957874001532,78.01451133471082,621.8749836401394,8
2013,5,13.148869807548214,1.7132260735936289,5.821781099108661,7.908865394710629,0.9876078094125628,2.1888836798062963,6,279,172.89277721585302,2.9351435792410423,33.89313516593885,22.526986592579643,76.54984172022473,594.4643603522914,8
2013,6,11.523915278241041,1.76325749123466,8.259731402872385,10.151829681019866,0.7173699479620499,1.2832955851739531,6,270,132.8006233400773,3.109076980395147,68.22316284759621,20.319629942712066,95.18444490772839,611.0229100455533,8
2013,7,10.959117942651066,2.4547534925691212,8.675647202710689,10.661322833809004,0.7030408220494854,4.047669424813784,6,279,120.10226608093653,6.025814709280299,75.2668543859018,26.901933045199627,95.07744092333724,632.271974346797,8
2013,8,10.68593979711623,2.1964677664783667,6.972877932666136,9.074235812039499,0.6584028430266031,1.7453285717770535,6,279,114.18930934759246,4.824470649178465,48.62102666386237,23.471322318894178,74.5117538011106,656.4557742689126,8
2013,9,11.133312522192217,3.92964211265157,6.428514106682367,8.229549256428959,0.685705853689861,4.915932790931116,6,270,123.95064771680202,15.442087133524696,41.325793619814185,43.749933740517605,71.5706566030161,667.4200723755412,8
2013,10,11.756420160080037,4.795284920480919,6.786281203977224,8.685570708857238,0.45441986350009156,4.190884494937595,6,279,138.21341498033632,22.99475746859169,46.053612579454565,56.37538431246967,79.78237315841007,639.0515391756232,8
2013,11,12.839743257272458,4.404569523353566,8.144623419959517,10.253881559985436,0.649584127736552,3.5043288796080727,6,270,164.85900691267355,19.400232686055062,66.33489065295306,56.55354183866672,104.57487363944855,633.0173237143604,8
2013,12,13.384253558555487,5.697180871659817,6.361862781057041,8.250566250816497,1.4311834799796834,4.76796406983528,6,279,179.13824331970523,32.457869884406506,40.47329804499883,76.25251335524716,85.1487845664044,638.6729777765338,8
