ANIO,MES,NM_RECURSO,Q_MACRO,Q_INDUSTRIAL,Q_ARTESANAL,N_REGIONES_ACTIVAS,SHARE_INDUSTRIAL,PRECIO_W,Q_MUESTRA_PRECIO,N_TRANSACCIONES,PRECIO_SD,FECHA
2022,9,ANCHOVETA,23.488,0,23.488,2,0,190819.53037066234,1298.9180000000001,3,3558.7870592848535,2022-09-01
2022,10,ANCHOVETA,526.989,378.34800000000007,148.641,4,0.7179428792631346,191367.62198364877,14657.03,7,5950.969640879263,2022-10-01
2022,11,ANCHOVETA,22373.05500000001,521.786,21851.26900000001,4,0.02332207201922132,183953.65188624183,27760.252999999997,12,21713.604757051617,2022-11-01
2022,12,ANCHOVETA,1273.6409999999998,0,1273.6409999999998,3,0,181050.49383398445,6820.611999999999,10,16799.409505495525,2022-12-01
2023,1,ANCHOVETA,558.589,0,558.589,1,0,148850,29.142,2,0,2023-01-01
2023,2,ANCHOVETA,1039.8540000000003,0,1039.8540000000003,3,0,144828.755924464,201.91699999999997,4,19297.35539739405,2023-02-01
2023,3,ANCHOVETA,38083.561,0,38083.561,3,0,169944.3223537129,14479.523,8,18648.59495281845,2023-03-01
2023,4,ANCHOVETA,47399.75199999994,0,47399.75199999994,3,0,171984.04245276935,19307.857,7,26534.290931511532,2023-04-01
2023,5,ANCHOVETA,43375.229999999945,0,43375.229999999945,3,0,183919.72344907658,15161.403,7,31220.12324187871,2023-05-01
2023,6,ANCHOVETA,27267.95599999998,944.661,26323.29499999998,3,0.034643630787727565,194893.1523431382,11952.176,7,33264.52457556091,2023-06-01
2023,7,ANCHOVETA,6538.208,33.8,6504.407999999999,3,0.00516961222402224,231000,1811.776,2,0,2023-07-01
2023,8,ANCHOVETA,10.703999999999999,0,10.703999999999999,3,0,NA,NA,NA,NA,2023-08-01
2023,9,ANCHOVETA,249.94500000000002,0,249.94500000000002,3,0,NA,NA,NA,NA,2023-09-01
2023,10,ANCHOVETA,2219.705999999999,589.444,1630.261999999999,3,0.26555048281168775,209950.27838690535,2955.958,4,41139.09343110678,2023-10-01
2023,11,ANCHOVETA,24344.917999999983,0,24344.917999999983,3,0,217061.44391016895,7934.317,6,38464.420134283406,2023-11-01
2023,12,ANCHOVETA,5020.911999999998,0,5020.911999999998,3,0,195261.1678911931,713.337,5,32095.786938475274,2023-12-01
2024,1,ANCHOVETA,96.71600000000001,0,96.71600000000001,3,0,NA,NA,NA,NA,2024-01-01
2024,2,ANCHOVETA,3378.3089999999984,0,3378.3089999999984,4,0,NA,NA,NA,NA,2024-02-01
2024,3,ANCHOVETA,37704.742000000006,0,37704.742000000006,3,0,190314.25491173693,2156.111,5,20029.118482848913,2024-03-01
2024,4,ANCHOVETA,22415.663,360.381,22055.281999999996,3,0.016077195664478003,190487.85012883032,1303.653,5,12643.627517449253,2024-04-01
2024,5,ANCHOVETA,37413.006000000016,459.7759999999999,36953.23000000002,3,0.012289202316435084,190000,3197.828,3,80769.57060882109,2024-05-01
2024,6,ANCHOVETA,2877.019,0,2877.019,3,0,198602.75601753753,204.81799999999998,3,6481.334121922739,2024-06-01
2024,7,ANCHOVETA,6774.584999999996,0,6774.584999999996,3,0,NA,NA,NA,NA,2024-07-01
2024,8,ANCHOVETA,23.629,0,23.629,2,0,NA,NA,NA,NA,2024-08-01
2024,9,ANCHOVETA,49.579,0,49.579,3,0,NA,NA,NA,NA,2024-09-01
2024,10,ANCHOVETA,2569.7959999999994,595.778,1974.0179999999993,3,0.23183863621859485,NA,NA,NA,NA,2024-10-01
2024,11,ANCHOVETA,5608.3179999999975,643.111,4965.206999999998,3,0.1146709227258512,NA,NA,NA,NA,2024-11-01
2024,12,ANCHOVETA,2286.991,0,2286.991,3,0,NA,NA,NA,NA,2024-12-01
2012,1,JUREL,67350.71600000001,66814.505,536.211,4,0.9920385256186436,186087.6084692815,14405,11,19345.659602467567,2012-01-01
2012,2,JUREL,40827.648999999976,40409.758999999976,417.8899999999999,3,0.9897645343232965,207712.8712871287,202,3,33486.315612998296,2012-02-01
2012,3,JUREL,25882.192000000003,25575.942,306.25,2,0.9881675400599762,59798.245614035084,228,3,52538.87449625594,2012-03-01
2012,4,JUREL,19438.143,19216.106,222.037,3,0.9885772524669666,NA,NA,NA,NA,2012-04-01
2012,5,JUREL,15213.454,15030.709000000004,182.74499999999998,3,0.9879879348897367,NA,NA,NA,NA,2012-05-01
2012,6,JUREL,2610.76,2580.022,30.738,2,0.9882264168288161,NA,NA,NA,NA,2012-06-01
2012,7,JUREL,51.315,8.708,42.607,1,0.1696969696969697,147307.6923076923,26,3,36678.78587594379,2012-07-01
2012,8,JUREL,433.9290000000001,0,433.9290000000001,3,0,150000,31,1,NA,2012-08-01
2012,9,JUREL,1571.272,334.22,1237.052,2,0.21270664786236887,227000,1021,2,0,2012-09-01
2012,10,JUREL,150.131,74.067,76.064,3,0.4933491417495387,150000,21,2,21213.203435596424,2012-10-01
2012,11,JUREL,44.568,0.095,44.473,2,0.00213157422365823,175000,18,3,17320.508075688773,2012-11-01
2012,12,JUREL,5750.28,5493.996,256.284,2,0.9554310398797972,150000,1452,3,0,2012-12-01
2013,1,JUREL,36666.15799999999,34925.952999999994,1740.2049999999997,2,0.9525392052257017,179775.78891384305,8764.516,14,29206.77140513973,2013-01-01
2013,2,JUREL,35955.61100000001,32174.472000000012,3781.1390000000006,4,0.8948386943000357,159885.47693436203,9690.107,10,19296.297399587656,2013-02-01
2013,3,JUREL,39730.95299999999,39533.450999999994,197.502,4,0.9950290142801258,NA,NA,NA,NA,2013-03-01
2013,4,JUREL,35259.539,35239.942,19.597,4,0.9994442071406551,117180,1253.0790000000002,2,0,2013-04-01
2013,5,JUREL,23008.586,22997.235,11.350999999999999,2,0.999506662425931,140891.55183515776,7.764999999999999,2,23207.24455854249,2013-05-01
2013,6,JUREL,5956.375,5956.015,0.36,2,0.9999395605548678,120444.30416737584,381.89500000000004,3,17466.00034352456,2013-06-01
2013,7,JUREL,0.195,0,0.195,1,0,NA,NA,NA,NA,2013-07-01
2013,8,JUREL,14.98,0,14.98,1,0,NA,NA,NA,NA,2013-08-01
2013,9,JUREL,NA,NA,NA,NA,NA,150000,12.540000000000001,1,NA,2013-09-01
2013,10,JUREL,NA,NA,NA,NA,NA,150000,12.13,1,NA,2013-10-01
2013,11,JUREL,8.828000000000001,0,8.828000000000001,2,0,202119.39325664873,139.01100000000002,3,101086.458150107,2013-11-01
2013,12,JUREL,7999.157000000002,7766.394000000002,232.763,3,0.9709015587517534,184566.81144858812,2093.97,7,177841.6470953062,2013-12-01
2014,1,JUREL,31786.82400000002,27374.80700000002,4412.017,2,0.8611998166284245,176418.4076531728,12090.724000000002,10,57671.063540373325,2014-01-01
2014,2,JUREL,39398.319000000025,34917.98900000002,4480.33,4,0.8862811887989435,217962.91705250693,3984.8100000000004,7,52513.97328784208,2014-02-01
2014,3,JUREL,25714.73000000001,25693.07300000001,21.656999999999996,3,0.9991577978847144,220138.42459222852,1569.0159999999998,6,26389.1694955841,2014-03-01
2014,4,JUREL,60964.412999999986,60962.31299999999,2.1,2,0.9999655536747315,219725.42689988494,5147.167,7,49080.167656018224,2014-04-01
2014,5,JUREL,40609.842000000004,40609.817,0.025,2,0.9999993843856866,219446.19352139573,1699.4710000000002,7,44684.112175944385,2014-05-01
2014,6,JUREL,18459.384,18459.384,0,1,1,208754.51825598863,333.507,3,60898.906394121725,2014-06-01
2014,7,JUREL,8554.958999999995,8552.998999999996,1.96,2,0.999770893115911,141089.6047737136,154.84799999999998,2,6936.717523440031,2014-07-01
2014,8,JUREL,973.058,946.751,26.307,2,0.9729646125924662,196729.47049969967,1293.597,4,37325,2014-08-01
2014,9,JUREL,123.646,0,123.646,2,0,NA,NA,NA,NA,2014-09-01
2014,10,JUREL,1155.45,877.617,277.833,1,0.7595456315721147,220000.00000000003,871.8770000000001,4,0,2014-10-01
2014,12,JUREL,16240.833000000008,16199.979000000008,40.854,2,0.9974844886342961,220000,2621.12,5,57768.29814006987,2014-12-01
2015,1,JUREL,21074.34,20921.819999999996,152.52,3,0.9927627626772652,181427,2143.907,1,NA,2015-01-01
2015,2,JUREL,914.757,88.83500000000001,825.9219999999999,3,0.0971132224186314,160376.14461587375,2566.4609999999993,4,20006.5,2015-02-01
2015,3,JUREL,2434.572,1736.427,698.145,2,0.7132370700065555,160502.09269951642,948.581,4,25222.5,2015-03-01
2015,4,JUREL,47534.73600000001,47290.44600000001,244.29,2,0.994860810839467,194041,694.3120000000001,1,NA,2015-04-01
2015,5,JUREL,39922.182,38681.831,1240.3509999999994,3,0.9689307813886525,198988.21362908208,8132.624,3,11391.698161380506,2015-05-01
2015,6,JUREL,53012.099,52664.694,347.4049999999999,2,0.9934466846898479,174685,54.507999999999996,1,NA,2015-06-01
2015,7,JUREL,23908.951999999994,23848.123999999993,60.828,2,0.9974558483366397,138551.46756409446,1201.508,3,1180.6813004927847,2015-07-01
2015,8,JUREL,27841.280000000017,27767.479000000018,73.801,2,0.9973492238862581,144216.5551330166,1622.9930000000002,3,3347.2339326673896,2015-08-01
