year,month,specie,harvest_LANCHAS_IFOP_centrosur,harvest_BOTES_IFOP_centrosur,harvest_IND_IFOP_norte,harvest_IND_IFOP_centrosur,total_harvest_IFOP_centrosur,total_harvest_IFOP_norte
2014,mar,JUREL,21.506999999999998,0.15,4074.909999999999,25693.07300000001,25714.730000000014,4074.909999999999
2014,ago,JUREL,19.807,6.5,0,946.751,973.058,0
2014,sept,JUREL,120.34599999999999,3.3,NA,NA,123.64599999999999,NA
2014,oct,JUREL,277.833,NA,0,877.617,1155.45,0
2014,dic,JUREL,40.854,NA,0,16199.979000000008,16240.833000000008,0
2015,ene,JUREL,138.885,13.635000000000002,0,20921.819999999996,21074.339999999993,0
2015,feb,JUREL,788.395,37.526999999999994,0,88.83500000000001,914.7570000000001,0
2015,mar,JUREL,663.71,34.435,29780.11,1736.427,2434.5719999999997,29780.11
2015,abr,JUREL,211.696,32.594,3747.4359999999974,47290.44600000001,47534.73600000001,3747.4359999999974
2015,may,JUREL,1232.8009999999997,7.550000000000001,1707.7240000000004,38681.831000000006,39922.18200000001,1707.7240000000004
2015,jun,JUREL,303.50699999999995,43.897999999999996,6.159000000000001,52664.694,53012.099,6.159000000000001
2015,jul,JUREL,35.358,25.470000000000002,0,23848.123999999993,23908.951999999994,0
2015,ago,JUREL,33.075,40.726,0.59,27767.479000000014,27841.280000000013,0.59
2015,sept,JUREL,184.466,9.6,NA,NA,194.066,NA
2015,oct,JUREL,163.836,10.08,NA,NA,173.91600000000003,NA
2015,dic,JUREL,2064.1330000000007,1.35,0,7708.0650000000005,9773.548,0
2016,ene,JUREL,11531.26,39.69199999999999,0,51752.94099999995,63323.89299999995,0
2016,feb,JUREL,225.362,NA,0,16552.93399999999,16778.29599999999,0
2016,mar,JUREL,168.008,7.51,0,23012.976999999995,23188.494999999995,0
2016,abr,JUREL,206.054,NA,0,45105.48100000001,45311.535,0
2016,may,JUREL,85.12100000000001,14.33,49.05,42277.507999999994,42376.958999999995,49.05
2016,jun,JUREL,15.728,15.6,6761.383,35098.813,35130.141,6761.383
2016,jul,JUREL,47.129,NA,11268.580999999998,8858.948999999999,8906.078,11268.580999999998
2016,ago,JUREL,145.126,6.25,1085.279,8311.381000000001,8462.757000000001,1085.279
2016,sept,JUREL,25.617,NA,0,79.765,105.382,0
2016,oct,JUREL,151.068,0.16,4596.918,3519.4499999999994,3670.6779999999994,4596.918
2017,ene,JUREL,7818.959999999998,23.450000000000003,0,9054.778,16897.188,0
2017,feb,JUREL,36.004,1.4500000000000002,3793.9870000000005,3974.7760000000003,4012.23,3793.9870000000005
2017,mar,JUREL,1028.074,7.425000000000001,16845.095,37945.299,38980.798,16845.095
2017,abr,JUREL,62.635000000000005,1.7,2522.56,53221.42000000004,53285.75500000004,2522.56
2017,may,JUREL,252.96200000000002,NA,13464.528999999999,70042.06700000004,70295.02900000004,13464.528999999999
2017,jun,JUREL,143.759,NA,38.863,27953.60999999998,28097.368999999977,38.863
2017,jul,JUREL,199.63800000000003,0.15,0,38917.289000000004,39117.077000000005,0
2017,ago,JUREL,105.29999999999998,NA,0,19009.95400000001,19115.254000000008,0
2017,sept,JUREL,106.16099999999999,8.9,0,4461.796,4576.857,0
2017,nov,JUREL,3.8,4.914,68.906,0,8.713999999999999,68.906
2017,dic,JUREL,64.81700000000001,11.979999999999999,0,13721.646999999999,13798.444,0
2018,ene,JUREL,7489.952,13.049999999999999,1245.5499999999997,39894.35499999999,47397.35699999999,1245.5499999999997
2018,feb,JUREL,1438.0100000000002,0.22,0,49425.35999999999,50863.59,0
2018,mar,JUREL,427.2,19.05,1704.0070000000003,41463.056000000004,41909.306000000004,1704.0070000000003
2018,abr,JUREL,407.415,NA,2134.6939999999995,42474.59799999999,42882.01299999999,2134.6939999999995
