ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,SHARE_INDUSTRIAL,SHARE_ARTESANAL,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,DEFLACTOR,PRECIO_REAL_MACRO,P_HARINA_REAL
2012,8,SARDINA COMUN,77471.47081371154,9131,3,4,0.23455655812116052,2012-08-01,19686.011999999995,9553.973000000002,10132.039,5,0.48531784903920633,0.5146821509607941,807108.0845454547,480.994090909091,1678,0.5988116217141295,129375.36280933462,1347849.7331682805
2012,10,ANCHOVETA,78545.90264941467,1623,2,4,0.230970310512372,2012-10-01,7392.5039999999935,384.88499999999993,7007.618999999993,3,0.05206422614042553,0.9479357738595744,784348.4999999995,475.362727272727,1650,0.6072237273759696,129352.49251349174,1291696.0662743684
2012,10,SARDINA COMUN,80062.66638495668,23665,3,7,0.16646503859736464,2012-10-01,50721.09699999997,14513.606,36207.49099999997,4,0.28614534894621874,0.7138546510537813,784348.4999999995,475.362727272727,1650,0.6072237273759696,131850.35889644173,1291696.0662743684
2012,11,ANCHOVETA,77934.72966390647,2053,2,3,0.22852340633098117,2012-11-01,7308.017999999999,3794.542999999999,3513.475000000001,4,0.5192301113653524,0.48076988863464776,792941.325,480.5705,1650,0.6041876087390898,128990.94343651381,1312409.1151998797
2012,11,SARDINA COMUN,83933.62874856665,51453,3,6,0.18550589245540547,2012-11-01,108437.95500000002,61749.652,46688.303000000014,5,0.5694468509665273,0.4305531490334727,792941.325,480.5705,1650,0.6041876087390898,138919.81155279244,1312409.1151998797
2012,12,ANCHOVETA,91828.57142857143,525,1,2,NA,2012-12-01,4835.112999999999,3899.116999999999,935.9959999999996,3,0.8064169337924469,0.19358306620755292,1006740.9684210536,477.128421052632,2110,0.6041876087390898,151986.84994585242,1666272.121207638
2012,12,SARDINA COMUN,91536.99383934446,33438,2,5,0.02839557819912719,2012-12-01,60548.53400000001,16546.941000000003,44001.59300000001,5,0.27328392459510253,0.7267160754048976,1006740.9684210536,477.128421052632,2110,0.6041876087390898,151504.25549173,1666272.121207638
2013,2,ANCHOVETA,221303,3.641,1,1,NA,2013-02-01,252.02000000000004,70.09,181.93000000000004,4,0.27811284818665183,0.7218871518133482,993104.31125,472.3445,2102.5,0.6060013799405244,365185.63707184896,1638782.2604421587
2013,2,SARDINA COMUN,149998,448.732,1,1,NA,2013-02-01,12087.563000000004,1071.941,11015.622000000005,5,0.08868131649034629,0.9113186835096536,993104.31125,472.3445,2102.5,0.6060013799405244,247520.8885080781,1638782.2604421587
2013,3,ANCHOVETA,85647.96434929254,6912.177,2,5,0.07583537747874296,2013-03-01,21597.034000000003,44.464,21552.570000000003,6,0.00205880122242711,0.9979411987775728,1031196.33,472.484,2182.5,0.6084253854602866,140769.87317762565,1694860.7908920143
