ANIO,MES,P_HARINA_REAL,PRECIO_DIESEL_REAL,SST_MACRO,CHL_A_MACRO,WIND_SPEED_MACRO,ln_P_HARINA,ln_DIESEL,ln_SST,ln_WIND,SST2,WIND2,SST_X_WIND,DIESEL_LAG1,D_DIESEL,P_A,P_J,P_S,Q_A,Q_J,Q_S,ln_P_A,ln_P_S,ln_P_J,ln_Q_A,ln_Q_S,ln_Q_J,D_SHOCK_JUREL
2012,1,1057021.5945932628,1071.7322593384058,15.424847148937053,4.702881404750428,6.126124860650783,13.870965694722456,6.977031552356158,2.7359796604351936,1.8125623902875572,237.92590956807152,37.52940580828358,94.49453959084164,1071.7322593384058,-0.8186632451381683,103744.75462153528,275519.2954348954,111320.36786271574,0,67350.71600000001,0,11.549688878950132,11.620167520186252,12.526412942998777,0,0,11.117683660355802,0
2012,2,1025222.7448076092,1070.9135960932676,14.820302322785023,3.3486207675656656,6.115626307113526,13.840420458953234,6.976267391276622,2.695998019307983,1.8108471853357142,219.64136093874717,37.40088512825903,90.63543076459979,1071.7322593384058,-0.8186632451381683,103744.75462153528,187023.543495815,111320.36786271574,257.86599999999993,0,34840.46299999999,11.549688878950132,11.620167520186252,12.138989788958991,5.556310553297786,10.458563422048062,0,0
2012,3,1051743.431576833,1082.1357445553226,14.431441683735072,4.702373282319338,8.786364278060937,13.865959756200875,6.986691908612506,2.6694092765779787,2.173201005889286,208.26650907104616,77.20019722678529,126.79990369088941,1070.9135960932676,11.222148462054975,104698.04500666188,98527.79155673462,106245.31579792836,6729.8769999999995,25882.192000000003,246995.89999999973,11.558835724350601,11.573505999207088,11.498093935148088,8.814460726184558,12.417131064924066,10.161349079494588,0
2012,4,1131055.7965422478,1118.445335292324,12.36185614492418,3.9154033869075175,6.3354629336315735,13.938662087694158,7.0196949065059195,2.514615614292183,1.8461628866567381,152.81548734779972,40.13809058341958,78.31808139705285,1082.1357445553226,36.30959073700137,108120.90631270388,99931.62741822664,112775.22598201068,30577.223999999987,0,190814.7750000001,11.59100538282569,11.63315196610532,11.5122415053054,10.328043400621885,12.159063712775735,0,0
2012,5,1267153.9330491985,1094.755556594655,12.955484283334322,1.7867660035669577,6.989055508045797,14.052283946042799,6.998286381343123,2.5615191952786676,1.9443454266648832,167.84457301572263,48.846896894545296,90.5465987898385,1118.445335292324,-23.689778697669,104285.71008887832,101335.46327971865,118726.59674104488,10886.609000000002,0,60009.51300000002,11.554889623825627,11.684578622398647,11.5261917107071,9.2953806325917,11.002275042522257,0,0
2012,6,1391792.8491672997,1050.3602505234392,12.031384126941534,1.473820289740971,7.292066547862764,14.146103293549038,6.956888480044294,2.487518579639239,1.9867869829216145,144.7542040100207,53.174234538459174,87.73365371655741,1094.755556594655,-44.39530607121583,109550.104528232,102739.29914121066,138794.0806402357,2786.318,0,31836.169,11.604137299183193,11.840746679461265,11.539949982323966,7.932835122156972,10.368389722688713,0,0
2012,7,1403489.4926374962,975.6676871560696,11.126484673401723,2.107313402555108,6.747583940624063,14.154472188213475,6.883122043963854,2.409328272937058,1.9091845060881547,123.79866118744346,45.52988903576775,75.07688929784524,1050.3602505234392,-74.69256336736953,118805.30941659468,104143.13500270266,126935.8808866922,2110.4800000000014,0,43739.299000000035,11.685241376970898,11.751437363040543,11.553521529996283,7.655144402389761,10.686025130055588,0,0
2012,8,1347849.7331682805,1013.7787544307372,10.905127420686652,2.072582972263568,6.9259080609696255,14.11402109032994,6.921439969447323,2.389233084196667,1.9352691714147376,118.9218040614119,47.96820246900404,75.52790990883459,975.6676871560696,38.11106727466756,130257.99295063935,105546.97086419468,129375.36280933462,302.07800000000003,0,19686.011999999995,11.777272323956502,11.770473247321197,11.566911354278153,5.713990198123622,9.88771440795919,0,0
2012,9,1319772.8997213244,1029.3903693473105,11.655672449344602,3.2581691312681684,6.144207936287373,14.092970234095336,6.936722031576785,2.4557929670348213,1.8155098390694555,135.85470024641077,37.751291164336735,71.61487516602918,1013.7787544307372,15.61161491657333,129805.24273206556,106950.80672568669,130612.86085288817,0,0,0,11.773790473284402,11.77999296611308,11.580124257499277,0,0,0,0
2012,10,1291696.0662743684,1045.001984263884,12.406217478002551,4.443755290272769,5.362507811605119,14.071466692829055,6.951774063214223,2.5181977564635787,1.6794317409626536,153.91423211149598,28.756490029525924,66.52843813826064,1029.3903693473105,15.611614916573444,129352.49251349174,108354.6425871787,131850.35889644173,7392.5039999999935,0,50721.09699999997,11.770296456956867,11.789422913783353,11.593164854105424,8.908357055829152,10.834116932893664,0,0
2012,11,1312409.1151998795,1053.935881487074,13.163576643623596,4.927819207115512,6.7861841060011345,14.087375025488335,6.96028689374715,2.577453670401653,1.9148887962623857,173.27975005255266,46.05229472054242,89.3304545970862,1045.001984263884,8.933897223190115,128990.9434365138,109758.47844867072,138919.81155279244,7308.017999999999,0,108437.95500000002,11.767497474960761,11.841652150341055,11.606037580333295,8.896864207194557,11.593942666900732,0,0
2012,12,1666272.121207638,1034.3641461039565,14.81880837521634,2.6137039535465845,7.501441157851518,14.326099426430524,6.941542165317824,2.695897210104551,2.015095156463179,219.59708166138196,56.271619444708726,111.16241905616265,1053.935881487074,-19.571735383117584,151986.84994585242,111162.31431016274,151504.25549173,4835.112999999999,0,60548.53400000001,11.931549282571774,11.928368992591395,11.618746703270542,8.483866577880221,11.011217052832713,0,0
2013,1,1652527.1908248984,1040.57292531397,14.796387923463815,3.643664268593276,7.39007265519829,14.31781630492958,6.9475267301763495,2.694383091757352,2.0001375664677066,218.93309558162582,54.61317384910951,109.34638178889615,1034.3641461039565,6.2087792100135175,258586.2435088507,112566.15017165475,199512.57199990406,0,0,0,12.462984547883476,12.203632530869912,11.631296329347272,0,0,0,0
2013,2,1638782.260442159,1046.7817045239835,14.773967471711291,4.673624583639967,7.278704152545062,14.309463999872174,6.9534756929755375,2.6928666773788814,1.9849528453405023,218.27011485518332,52.97953414027673,107.53533838591065,1040.57292531397,6.2087792100135175,365185.63707184896,113969.98603314676,247520.8885080781,252.02000000000004,0,12087.563000000004,12.808161097991565,12.419250255442007,11.643690412301268,5.533468536986524,9.400015077983806,0,0
2013,3,1694860.7908920145,1086.5931928234634,13.533868311542534,6.336686245507254,5.85250524543208,14.343111166156646,6.990802569440579,2.605195307567818,1.7668698166545613,183.16559147417516,34.25181764781001,79.20703528428969,1046.7817045239835,39.811488299479834,140769.87317762565,115373.82189463876,163961.54334667945,21597.034000000003,0,67779.91399999999,11.854881730902557,12.007387187520298,11.655932760655631,9.980357571011302,11.1240359298739,0,0
2013,4,1688479.456685952,1027.2417924921122,13.413993183944877,4.729358206022182,5.8159050973788995,14.339338952127854,6.934632617945387,2.5962984295474683,1.7605964225910196,179.9352131389196,33.82475210171787,78.01451133471082,1086.5931928234634,-59.351400331351215,135473.05389315146,116777.65775613078,143826.3317531761,7411.364999999996,0,22539.18099999999,11.81652803526859,11.876361821227482,11.668027044744203,8.910904830661211,10.023054817730115,0,0
2013,5,1568550.242773385,981.9636601660354,13.148869807548214,1.7132260735936289,5.821781099108661,14.265662338470507,6.889554301728828,2.5763358087361357,1.7616062457001647,172.89277721585302,33.89313516593885,76.54984172022473,1027.2417924921122,-45.27813232607673,144125.94353731835,118181.4936176228,158612.66207202824,3483.217000000001,0,19175.103000000003,11.878442804209556,11.974220421515843,11.679976803317201,8.155998620762976,9.86142014739725,0,0
