ANIO,MES,RG,NM_RECURSO,FECHA,Q_TOTAL,Q_INDUSTRIAL,Q_ARTESANAL,N_FLOTAS_ACTIVAS,N_OUTLIERS,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2012,5,14,ANCHOVETA,2012-05-01,186.788,0,186.788,1,0,0,1
2012,5,14,SARDINA COMUN,2012-05-01,14929.454000000007,2165.0899999999997,12764.364000000007,2,1,0.14502137854472097,0.854978621455279
2012,6,5,ANCHOVETA,2012-06-01,191.14,0,191.14,1,0,0,1
2012,6,5,JUREL,2012-06-01,1,0,1,1,0,0,1
2012,6,5,SARDINA COMUN,2012-06-01,909.941,0,909.941,1,0,0,1
2012,6,8,ANCHOVETA,2012-06-01,2533.747,548.9399999999999,1984.8069999999998,2,0,0.21665146520153747,0.7833485347984624
2012,6,8,JUREL,2012-06-01,2609.7599999999998,2580.022,29.738,2,0,0.9886050824596898,0.011394917540310221
2012,6,8,SARDINA COMUN,2012-06-01,27453.918,18197.710000000003,9256.207999999997,2,1,0.662845645565052,0.3371543544349479
2012,6,9,ANCHOVETA,2012-06-01,0.3,0,0.3,1,0,0,1
2012,6,9,SARDINA COMUN,2012-06-01,2.1,0,2.1,1,0,0,1
2012,6,10,ANCHOVETA,2012-06-01,23.150999999999996,0,23.150999999999996,1,0,0,1
2012,6,10,SARDINA COMUN,2012-06-01,700.7000000000002,0,700.7000000000002,1,0,0,1
2012,6,14,ANCHOVETA,2012-06-01,37.980000000000004,0,37.980000000000004,1,0,0,1
2012,6,14,SARDINA COMUN,2012-06-01,2769.5099999999993,538.2850000000001,2231.2249999999995,2,0,0.19436109636722748,0.8056389036327726
2012,7,5,ANCHOVETA,2012-07-01,103.71,0,103.71,1,0,0,1
2012,7,5,SARDINA COMUN,2012-07-01,589.9700000000001,0,589.9700000000001,1,0,0,1
2012,7,8,ANCHOVETA,2012-07-01,1925.8370000000011,428.31499999999994,1497.522000000001,2,0,0.22240459602759718,0.7775954039724028
2012,7,8,JUREL,2012-07-01,51.315,8.708,42.607,2,0,0.1696969696969697,0.8303030303030303
2012,7,8,SARDINA COMUN,2012-07-01,39902.53900000003,8010.276,31892.26300000003,2,1,0.20074602270296618,0.7992539772970337
2012,7,9,SARDINA COMUN,2012-07-01,17,0,17,1,0,0,1
2012,7,10,SARDINA COMUN,2012-07-01,171.47199999999998,0,171.47199999999998,1,0,0,1
2012,7,14,ANCHOVETA,2012-07-01,80.933,3.95,76.983,2,0,0.04880580233032261,0.9511941976696774
2012,7,14,SARDINA COMUN,2012-07-01,3058.3179999999998,582.9699999999999,2475.348,2,0,0.19061784941919055,0.8093821505808095
2012,8,5,JUREL,2012-08-01,2.55,0,2.55,1,0,0,1
2012,8,5,SARDINA COMUN,2012-08-01,3.935,0,3.935,1,0,0,1
2012,8,7,JUREL,2012-08-01,0.36,0,0.36,1,0,0,1
2012,8,8,ANCHOVETA,2012-08-01,296.47,238.087,58.383,2,0,0.8030728235571895,0.19692717644281038
2012,8,8,JUREL,2012-08-01,431.01900000000006,0,431.01900000000006,1,1,0,1
2012,8,8,SARDINA COMUN,2012-08-01,13540.762999999997,9144.182999999999,4396.58,2,0,0.6753078094639129,0.3246921905360873
2012,8,9,ANCHOVETA,2012-08-01,0.1,0,0.1,1,0,0,1
2012,8,9,SARDINA COMUN,2012-08-01,0.2,0,0.2,1,0,0,1
2012,8,10,ANCHOVETA,2012-08-01,1.2,0,1.2,1,0,0,1
2012,8,10,SARDINA COMUN,2012-08-01,0.3,0,0.3,1,0,0,1
2012,8,14,ANCHOVETA,2012-08-01,4.308,0,4.308,1,0,0,1
2012,8,14,SARDINA COMUN,2012-08-01,6140.813999999999,409.79,5731.023999999999,2,0,0.06673219543858519,0.9332678045614148
2012,9,5,JUREL,2012-09-01,2,0,2,1,0,0,1
2012,9,5,SARDINA COMUN,2012-09-01,6.449999999999999,0,6.449999999999999,1,0,0,1
2012,9,8,ANCHOVETA,2012-09-01,34.339,0,34.339,1,0,0,1
