year,month,P_anchoveta,P_sardina,P_jurel,Q_anchoveta,Q_sardina,Q_jurel,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,Date
2013,2,221302.9999999999,149998.00000000003,149999.99999999994,252.02000000000007,12087.563000000006,35955.61100000002,993104.31125,472.3445,2102.5,2013-02-01
2013,3,91142.85714285716,113541.33333333331,171419.6373271832,21597.034,67779.914,39730.952999999994,1031196.33,472.484,2182.5,2013-03-01
2013,4,88196.24999999994,129823.5000000001,176287.56903390735,7411.364999999996,22539.18099999999,35259.539000000004,1022177.195454546,472.137272727273,2165,2013-04-01
2013,5,90948.75000000007,126607.33333333328,181293.73903975968,3483.217000000001,19175.102999999996,23008.586,949574.0571428568,479.58285714285694,1980,2013-05-01
2013,6,94666.66666666664,140645.00000000003,186442.07300115857,2842.523000000001,10071.041,5956.375,898908.7250000001,502.886,1787.5,2013-06-01
2013,7,97114.50000000007,237205.33333333323,191736.60805432423,750.4,33626.899000000005,0.195,806929.7118181821,504.96227272727293,1598,2013-07-01
2013,8,96688.89018792454,199339.64094246115,197181.49598105525,0.3,8.678,14.98,786823.4571428564,512.588571428571,1535,2013-08-01
2013,9,97107.1099856321,127400.19009890292,202781.00646440408,1.954,114.351,0,721535.1,504.57,1430,2013-09-01
2013,10,97258.00000000006,128300.66666666664,208539.5304368088,1006.9060000000004,13120.516999999998,0,728673.2590909096,500.806363636364,1455,2013-10-01
2013,11,90763.99999999996,203180.66666666672,214461.58352330036,2382.5600000000004,34613.967000000004,8.828000000000001,776278.75,519.25,1495,2013-11-01
2013,12,122623,232085.00000000015,297824.1432406243,3609.000999999999,24428.419000000005,7999.157000000002,769026.8512500001,529.4505,1452.5,2013-12-01
2014,1,141985.16444688456,89999.99999999997,219999.99999999985,2.656,43.97500000000001,31786.824000000015,900061.5181818174,537.029545454545,1676,2014-01-01
2014,2,88494.99999999997,89332.50000000007,219999.99999999985,702.9739999999998,16066.774000000009,39398.319000000025,848245.005,554.4085,1530,2014-02-01
2014,3,93184.50000000004,85588.88888888882,219999.99999999985,10666.090999999997,196372.08499999964,25714.730000000018,902149.3333333328,563.843333333333,1600,2014-03-01
2014,4,95045.50000000004,87267.55555555563,219999.99999999985,27781.90400000004,119650.44299999996,60964.412999999986,899904.9452380945,554.640952380952,1622.5,2014-04-01
2014,5,95886.50000000007,94081.71428571436,219999.99999999985,9203.481,48241.11200000003,40609.842,930298.35,555.402,1675,2014-05-01
2014,6,94844.99999999993,93400.8333333333,219999.99999999985,1436.4690000000007,42433.87700000003,18459.384,1042524.3833333328,553.063333333333,1885,2014-06-01
2014,7,96266.00000000007,98814.80000000008,213434.15904344225,2024.5330000000008,41888.49199999999,8554.958999999995,1063944.794545455,558.208181818182,1906,2014-07-01
2014,8,107838.26565381324,119060,219999.99999999985,98.942,37.768,973.058,1094408.28,579.052,1890,2014-08-01
2014,9,115112.31483990591,50938.90873824104,209318.31553423093,0.773,0.631,123.646,1070616.272,593.468,1804,2014-09-01
2014,10,107641.99999999996,107574.49999999993,219999.99999999985,2290.498999999998,32348.782000000025,1155.45,1238958,589.98,2100,2014-10-01
2014,11,104926.00000000006,106702.99999999996,203578.14838186695,2850.7519999999995,44138.743999999984,0,1415978.205,592.4595,2390,2014-11-01
2014,12,114529.99999999993,114895.6,167265,390.2230000000001,5792.637999999999,16240.833000000008,1473457.276,612.919,2404,2014-12-01
2015,1,524522.0698057187,176276.43042101432,199337.6432934756,221.374,208.757,21074.339999999993,1375314.5952380956,620.909523809524,2215,2015-01-01
2015,2,524522.0698057187,467242.5000000003,200000.0000000001,127.823,17016.05600000001,914.757,1442115.46875,623.6175,2312.5,2015-02-01
2015,3,524522.0698057187,275324.0000000002,200000.0000000001,2413.6749999999997,79484.26,2434.5719999999997,1330333.8298590914,628.503181818182,2116.67,2015-03-01
2015,4,524522.0698057187,224165.99999999988,199042.63759185027,27988.31400000001,102946.97500000006,47534.73600000001,1207325.0438095238,614.727619047619,1964,2015-04-01
2015,5,486228.8411501111,199321.00000000003,198690.50654925755,15680.545,71163.35399999999,39922.18200000001,1111902.2210526313,607.596842105263,1830,2015-05-01
2015,6,429575.0861660736,295080.6666666667,198338.9984700288,1583.5369999999998,13037.4,53012.099,1058391.2000000002,629.994761904762,1680,2015-06-01
2015,7,415514.66666666634,269975.7999999999,197988.1122520655,997.9460000000004,12892.246000000005,23908.95199999999,1050788.0403409083,650.139545454545,1616.25,2015-07-01
2015,8,316369.88135203195,543693.0000000001,197637.84679521777,63.361,4677.280000000001,27841.280000000013,1156034.3999999997,688.115714285714,1680,2015-08-01
2015,9,263734.9180545376,66249.53711901193,197288.2010012825,40.596,33.95,194.066,1188044.6392857132,691.729047619047,1717.5,2015-09-01
2015,10,126880.99999999993,128296.5000000001,196939.1737739989,1656.5610000000008,34077.630999999994,173.91600000000005,1269544.7142857148,685.314285714286,1852.5,2015-10-01
2015,11,441405.3333333332,121784.19999999994,196590.7640190468,9860.358,79735.07600000019,112.1,1376324.6547619049,704.002380952381,1955,2015-11-01
2015,12,118239.5000000001,118204.9999999999,196242.97064404105,3558.8079999999995,23926.19099999999,9773.548,1295797.9200000002,704.238,1840,2015-12-01
2016,1,453160.333333333,117678.00000000004,200000.0000000001,114.639,239.86899999999997,63323.89299999995,1227311.6,721.948,1700,2016-01-01
2016,2,524522.0698057187,108933.5,200000.0000000001,1383.0869999999998,29493.965,16778.29599999999,1172301.1285714288,704.084761904762,1665,2016-02-01
2016,3,310097.4000000003,120938.6666666666,156999.9999999999,30622.06000000004,40715.301000000014,23188.494999999995,1166335.8136363633,682.067727272727,1710,2016-03-01
2016,4,114443.99999999993,111944,200000.0000000001,9916.19400000001,16313.857000000007,45311.535,1102038.7666666666,669.932380952381,1645,2016-04-01
2016,5,115000.00000000007,109999.99999999993,200000.0000000001,8370.931999999999,26720.11800000001,42376.958999999995,1208615.380681819,681.870454545455,1772.5,2016-05-01
2016,6,524522.0698057187,109999.99999999993,200000.0000000001,5474.125000000001,33770.975,35130.141,1309020.2009523814,681.071904761905,1922,2016-06-01
2016,7,100000,118304.25,200000.0000000001,2900.6509999999994,20547.013,8906.078,1155128.4728428577,657.567142857143,1756.67,2016-07-01
2016,8,288725.6626285472,328363.7929756713,204487.81133792992,26.24,71.38700000000003,8462.757000000001,1167553.8854545443,658.890454545454,1772,2016-08-01
2016,9,387794.2435201824,30140.80176489583,206702.35566144873,13.1,208.07800000000003,105.382,1063125.485714286,668.632380952381,1590,2016-09-01
2016,10,524522.0698057187,121107.33333333328,208940.88286457615,1918.88,28470.199000000008,3670.677999999999,1048996.9263157896,663.922105263158,1580,2016-10-01
2016,11,515901.87239083834,117263.0000000001,211203.65267501745,12210.441,60041.66000000004,3042.278,1059127.014285714,666.117619047619,1590,2016-11-01
2016,12,524522.0698057187,119794.75000000004,200000.0000000001,972.131,25501.562,25621.550000000003,1059129.3511904755,667.168095238095,1587.5,2016-12-01
2017,1,482734.4590241298,163495.0175822332,232633.00000000003,46.971,202.532,16897.188,1020718.6785714292,661.194285714286,1543.75,2017-01-01
