ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,DEFLACTOR,PRECIO_REAL_MACRO,P_HARINA_REAL,SST_MACRO,CHL_A_MACRO,WIND_SPEED_MACRO,WIND_MAX_MACRO,SST_SD,CHL_A_SD,N_REGIONES,N_DIAS,SST2,CHL_A2,WIND2,SST_X_CHL,SST_X_WIND,PRECIO_DIESEL_NOMINAL,PRECIO_DIESEL_REAL,PRECIO_DIESEL_MACRO,N_REGIONES_DIESEL,ln_SST,ln_CHL_A,ln_WIND,ln_DIESEL,SST_LAG1,CHL_A_LAG1,DIESEL_LAG1,D_DIESEL
2015,10,SARDINA COMUN,127608.7068702433,10352.006,2,2,0.01560307021266453,0,2015-10-01,34077.630999999994,24220.09799999999,9857.533,4,1,0.7107330318824098,0.2892669681175901,1269544.7142857148,685.314285714286,1852.5,0.6789324602915188,187954.93562857623,1869913.118810964,12.76296739949637,5.8883129304487785,6.702365401764996,8.687474578596,0.8998038663615677,6.030161048747015,6,279,162.89333684060713,34.67222916689028,44.921701978776454,75.15234596935069,85.54207112223904,513.686674413402,756.6093896774889,756.6093896774889,8,3.4892988348429586,1.7746663660301631,1.9172704048958975,6.628847122480749,12.76296739949637,5.8883129304487785,756.6093896774889,0
2015,11,ANCHOVETA,117891.8842621057,161.019,2,2,0.1817619620200649,0,2015-11-01,9860.357999999998,193.828,9666.53,4,1,0.01965729844697322,0.9803427015530268,1376324.6547619049,704.002380952381,1955,0.6789324602915188,173643.02218144864,2027189.352783252,13.425381839373864,6.0952713002048275,6.368462844372477,8.270068504013683,0.8556022677453262,5.519407801606133,6,270,180.24087753298957,37.15233222310065,40.55731900015278,81.83134461982661,85.49904541556548,503.1769391379798,741.1295947198143,741.1295947198143,8,3.509315546688616,1.8091525455932735,1.866938498272204,6.608175501663992,12.76296739949637,5.8883129304487785,756.6093896774889,-15.479794957674585
2015,11,SARDINA COMUN,126827.093405315,18390.613,4,5,0.11946507742726932,0,2015-11-01,79735.07600000019,7047.602000000001,72687.47400000019,5,1,0.0883877253719553,0.9116122746280448,1376324.6547619049,704.002380952381,1955,0.6789324602915188,186803.6967194914,2027189.352783252,13.425381839373864,6.0952713002048275,6.368462844372477,8.270068504013683,0.8556022677453262,5.519407801606133,6,270,180.24087753298957,37.15233222310065,40.55731900015278,81.83134461982661,85.49904541556548,503.1769391379798,741.1295947198143,741.1295947198143,8,3.509315546688616,1.8091525455932735,1.866938498272204,6.608175501663992,13.425381839373864,6.0952713002048275,741.1295947198143,0
2015,12,ANCHOVETA,113089.27379960207,665.925,2,2,0.21815508582922008,0,2015-12-01,3558.8079999999995,22.592,3536.215999999999,4,1,0.00634819299046197,0.993651807009538,1295797.9200000002,704.238,1840,0.6789324602915188,166569.25454859532,1908581.4801719936,13.921392337934666,7.136072582943278,6.108320711979769,7.876367374887932,1.0808329444402194,5.095641583896272,6,279,193.805164626706,50.92353190903475,37.31158192040104,99.3440661791322,85.03632915740279,502.2430799160079,739.754112950139,739.754112950139,8,3.524045857779814,1.966562916692551,1.8258904426257456,6.606317851183942,13.425381839373864,6.0952713002048275,741.1295947198143,-1.375481769675389
2015,12,SARDINA COMUN,133488.81739481894,8459.173999999999,3,3,0.16915484584823692,0,2015-12-01,23926.19099999999,1019.238,22906.95299999999,4,1,0.0425992586952098,0.95740074130479,1295797.9200000002,704.238,1840,0.6789324602915188,196615.7537047231,1908581.4801719936,13.921392337934666,7.136072582943278,6.108320711979769,7.876367374887932,1.0808329444402194,5.095641583896272,6,279,193.805164626706,50.92353190903475,37.31158192040104,99.3440661791322,85.03632915740279,502.2430799160079,739.754112950139,739.754112950139,8,3.524045857779814,1.966562916692551,1.8258904426257456,6.606317851183942,13.921392337934666,7.136072582943278,739.754112950139,0
2016,1,ANCHOVETA,117678,52,1,1,NA,0,2016-01-01,114.639,0,114.639,2,0,0,1,1227311.6,721.948,1700,0.6823271225929762,172465.66361425095,1798714.369342342,15.99128677490408,7.374399440732296,6.8480178126673374,8.667555979356262,1.1089980149122067,7.64934859264666,6,279,255.72125271722217,54.3817671114728,46.895347962609144,117.92613624944242,109.50861668201476,461.5385529408034,676.4183009270786,676.4183009270786,8,3.583276875130705,1.9993695911778973,1.9384564120870484,6.516811673026059,13.921392337934666,7.136072582943278,739.754112950139,-63.335812023060384
2016,1,SARDINA COMUN,117678,151,1,1,NA,0,2016-01-01,239.86900000000003,0,239.86900000000003,3,0,0,1,1227311.6,721.948,1700,0.6823271225929762,172465.66361425095,1798714.369342342,15.99128677490408,7.374399440732296,6.8480178126673374,8.667555979356262,1.1089980149122067,7.64934859264666,6,279,255.72125271722217,54.3817671114728,46.895347962609144,117.92613624944242,109.50861668201476,461.5385529408034,676.4183009270786,676.4183009270786,8,3.583276875130705,1.9993695911778973,1.9384564120870484,6.516811673026059,15.99128677490408,7.374399440732296,676.4183009270786,0
2016,2,ANCHOVETA,97867,199,1,1,NA,0,2016-02-01,1383.087,528.2739999999999,854.813,3,0,0.38195283449269635,0.6180471655073035,1172301.1285714288,704.084761904762,1665,0.6843741039607552,143002.19636249138,1712953.6634814772,14.949809372469002,6.254845167590991,6.709258370290008,8.68111280549688,1.3329408348212417,5.5247419910316395,6,261,223.496800273162,39.123088070536376,45.01414787930653,93.50874290979424,100.30213366647766,422.34067259204915,617.1195989851011,617.1195989851011,8,3.5539130143722124,1.8349538741704905,1.9182832111899393,6.425062844642979,15.99128677490408,7.374399440732296,676.4183009270786,-59.29870194197747
2016,2,SARDINA COMUN,97867,191,1,1,NA,0,2016-02-01,29493.965000000004,13750.243,15743.722000000003,4,1,0.4662053067466513,0.5337946932533487,1172301.1285714288,704.084761904762,1665,0.6843741039607552,143002.19636249138,1712953.6634814772,14.949809372469002,6.254845167590991,6.709258370290008,8.68111280549688,1.3329408348212417,5.5247419910316395,6,261,223.496800273162,39.123088070536376,45.01414787930653,93.50874290979424,100.30213366647766,422.34067259204915,617.1195989851011,617.1195989851011,8,3.5539130143722124,1.8349538741704905,1.9182832111899393,6.425062844642979,14.949809372469002,6.254845167590991,617.1195989851011,0
2016,3,ANCHOVETA,120800.68085106384,282,3,3,0.10816223189242778,0,2016-03-01,30622.06000000004,672.4669999999999,29949.59300000004,4,1,0.02196021430302203,0.978039785696978,1166335.8136363633,682.067727272727,1710,0.6871116003765982,175809.40386518626,1697447.420473046,13.83523502929704,6.277768194702422,5.9966411286560595,8.028396551175618,1.436282624693025,5.638376865982192,6,279,191.41372831588785,39.41037350641731,35.95970482588942,86.85439843315379,82.96493940130564,397.5614291851411,578.5980457428489,578.5980457428489,8,3.5215027159966095,1.8386061897372104,1.8077379848777873,6.360608014974715,14.949809372469002,6.254845167590991,617.1195989851011,-38.52155324225225
