ANIO,MES_TXT,RG,TONELADAS,NM_RECURSO,FLOTA,MES,FECHA,Limite_Superior,is_outlier_Q
2017,ago,8,19009.95400000001,JUREL,INDUSTRIAL,8,2017-08-01,232589,FALSE
2017,sept,8,4461.796,JUREL,INDUSTRIAL,9,2017-09-01,232589,FALSE
2017,dic,8,13721.646999999999,JUREL,INDUSTRIAL,12,2017-12-01,232589,FALSE
2018,ene,8,39894.35499999999,JUREL,INDUSTRIAL,1,2018-01-01,232589,FALSE
2018,feb,8,49425.35999999999,JUREL,INDUSTRIAL,2,2018-02-01,232589,FALSE
2018,mar,8,41463.056000000004,JUREL,INDUSTRIAL,3,2018-03-01,232589,FALSE
2018,abr,8,42474.59799999999,JUREL,INDUSTRIAL,4,2018-04-01,232589,FALSE
2018,may,8,64850.87099999998,JUREL,INDUSTRIAL,5,2018-05-01,232589,FALSE
2018,jun,8,47225.61800000002,JUREL,INDUSTRIAL,6,2018-06-01,232589,FALSE
2018,jul,8,42496.71700000001,JUREL,INDUSTRIAL,7,2018-07-01,232589,FALSE
2018,ago,8,14603.475999999999,JUREL,INDUSTRIAL,8,2018-08-01,232589,FALSE
2018,sept,8,468.26800000000003,JUREL,INDUSTRIAL,9,2018-09-01,232589,FALSE
2018,dic,8,47912.552000000025,JUREL,INDUSTRIAL,12,2018-12-01,232589,FALSE
2019,ene,8,42049.51499999996,JUREL,INDUSTRIAL,1,2019-01-01,232589,FALSE
2019,feb,8,67072.54899999997,JUREL,INDUSTRIAL,2,2019-02-01,232589,FALSE
2019,mar,8,74508.63999999997,JUREL,INDUSTRIAL,3,2019-03-01,232589,FALSE
2019,abr,8,57543.908,JUREL,INDUSTRIAL,4,2019-04-01,232589,FALSE
2019,may,8,47756.269000000015,JUREL,INDUSTRIAL,5,2019-05-01,232589,FALSE
2019,jun,8,57239.92199999997,JUREL,INDUSTRIAL,6,2019-06-01,232589,FALSE
2019,jul,8,38349.418000000005,JUREL,INDUSTRIAL,7,2019-07-01,232589,FALSE
2019,ago,8,4029.446000000001,JUREL,INDUSTRIAL,8,2019-08-01,232589,FALSE
2019,dic,8,16447.355000000007,JUREL,INDUSTRIAL,12,2019-12-01,232589,FALSE
2020,ene,8,69904.875,JUREL,INDUSTRIAL,1,2020-01-01,232589,FALSE
2020,feb,8,99736.36499999993,JUREL,INDUSTRIAL,2,2020-02-01,232589,FALSE
2020,mar,8,74999.18800000002,JUREL,INDUSTRIAL,3,2020-03-01,232589,FALSE
2020,abr,5,210.989,JUREL,INDUSTRIAL,4,2020-04-01,232589,FALSE
2020,abr,8,60685.65799999997,JUREL,INDUSTRIAL,4,2020-04-01,232589,FALSE
2020,may,8,66967.25999999998,JUREL,INDUSTRIAL,5,2020-05-01,232589,FALSE
2020,jun,8,51810.274,JUREL,INDUSTRIAL,6,2020-06-01,232589,FALSE
2020,jul,8,24626.47599999998,JUREL,INDUSTRIAL,7,2020-07-01,232589,FALSE
2020,ago,8,6714.819,JUREL,INDUSTRIAL,8,2020-08-01,232589,FALSE
2020,sept,8,893.375,JUREL,INDUSTRIAL,9,2020-09-01,232589,FALSE
2020,nov,8,1199.078,JUREL,INDUSTRIAL,11,2020-11-01,232589,FALSE
2020,dic,8,23047.85200000001,JUREL,INDUSTRIAL,12,2020-12-01,232589,FALSE
2021,ene,8,76789.71599999999,JUREL,INDUSTRIAL,1,2021-01-01,232589,FALSE
2021,feb,8,80523.96300000002,JUREL,INDUSTRIAL,2,2021-02-01,232589,FALSE
2021,mar,8,72784.29000000004,JUREL,INDUSTRIAL,3,2021-03-01,232589,FALSE
2021,abr,8,72216.459,JUREL,INDUSTRIAL,4,2021-04-01,232589,FALSE
2021,may,8,70915.00200000004,JUREL,INDUSTRIAL,5,2021-05-01,232589,FALSE
2021,jun,8,65440.95300000001,JUREL,INDUSTRIAL,6,2021-06-01,232589,FALSE
2021,jul,8,37343.278,JUREL,INDUSTRIAL,7,2021-07-01,232589,FALSE
2021,ago,8,780.605,JUREL,INDUSTRIAL,8,2021-08-01,232589,FALSE
2021,dic,8,31036.995999999996,JUREL,INDUSTRIAL,12,2021-12-01,232589,FALSE
2022,ene,8,78399.96099999995,JUREL,INDUSTRIAL,1,2022-01-01,232589,FALSE
2022,feb,8,73012.45700000002,JUREL,INDUSTRIAL,2,2022-02-01,232589,FALSE
2022,mar,8,82806.70599999998,JUREL,INDUSTRIAL,3,2022-03-01,232589,FALSE
2022,abr,8,65230.20999999998,JUREL,INDUSTRIAL,4,2022-04-01,232589,FALSE
2022,may,8,90334.55699999997,JUREL,INDUSTRIAL,5,2022-05-01,232589,FALSE
2022,jun,8,72132.90099999997,JUREL,INDUSTRIAL,6,2022-06-01,232589,FALSE
2022,jul,8,55638.51400000001,JUREL,INDUSTRIAL,7,2022-07-01,232589,FALSE
2022,ago,8,13164.936000000002,JUREL,INDUSTRIAL,8,2022-08-01,232589,FALSE
2022,sept,8,2851.987,JUREL,INDUSTRIAL,9,2022-09-01,232589,FALSE
2022,nov,8,802.2579999999999,JUREL,INDUSTRIAL,11,2022-11-01,232589,FALSE
2022,dic,8,44259.238999999994,JUREL,INDUSTRIAL,12,2022-12-01,232589,FALSE
2023,ene,8,80260.95099999996,JUREL,INDUSTRIAL,1,2023-01-01,232589,FALSE
2023,feb,8,110197.18599999994,JUREL,INDUSTRIAL,2,2023-02-01,232589,FALSE
2023,mar,8,95017.97899999999,JUREL,INDUSTRIAL,3,2023-03-01,232589,FALSE
2023,abr,8,93026.96200000003,JUREL,INDUSTRIAL,4,2023-04-01,232589,FALSE
2023,may,8,90676.806,JUREL,INDUSTRIAL,5,2023-05-01,232589,FALSE
2023,jun,8,77007.56400000004,JUREL,INDUSTRIAL,6,2023-06-01,232589,FALSE
2023,jul,8,21545.281999999996,JUREL,INDUSTRIAL,7,2023-07-01,232589,FALSE
2023,ago,8,883.527,JUREL,INDUSTRIAL,8,2023-08-01,232589,FALSE
2023,nov,8,21617.581000000006,JUREL,INDUSTRIAL,11,2023-11-01,232589,FALSE
2023,dic,8,63925.218999999975,JUREL,INDUSTRIAL,12,2023-12-01,232589,FALSE
2024,ene,8,117458.11900000006,JUREL,INDUSTRIAL,1,2024-01-01,232589,FALSE
2024,feb,8,118058.80500000007,JUREL,INDUSTRIAL,2,2024-02-01,232589,FALSE
2024,mar,8,101778.46599999997,JUREL,INDUSTRIAL,3,2024-03-01,232589,FALSE
2024,abr,8,120360.37499999988,JUREL,INDUSTRIAL,4,2024-04-01,232589,FALSE
2024,may,8,83259.93499999995,JUREL,INDUSTRIAL,5,2024-05-01,232589,FALSE
2024,jun,8,30963.561999999987,JUREL,INDUSTRIAL,6,2024-06-01,232589,FALSE
2024,jul,8,67392.85300000003,JUREL,INDUSTRIAL,7,2024-07-01,232589,FALSE
2024,ago,8,40742.51799999999,JUREL,INDUSTRIAL,8,2024-08-01,232589,FALSE
2024,sept,8,3974.985,JUREL,INDUSTRIAL,9,2024-09-01,232589,FALSE
2024,oct,8,8190.687000000001,JUREL,INDUSTRIAL,10,2024-10-01,232589,FALSE
2024,nov,8,22682.977999999992,JUREL,INDUSTRIAL,11,2024-11-01,232589,FALSE
2024,dic,8,97661.015,JUREL,INDUSTRIAL,12,2024-12-01,232589,FALSE
2012,feb,8,18585.219999999998,SARDINA COMUN,INDUSTRIAL,2,2012-02-01,28123,FALSE
2012,mar,8,14111.308999999996,SARDINA COMUN,INDUSTRIAL,3,2012-03-01,28123,FALSE
2012,abr,8,23250.824000000004,SARDINA COMUN,INDUSTRIAL,4,2012-04-01,28123,FALSE
2012,may,8,15127.983999999993,SARDINA COMUN,INDUSTRIAL,5,2012-05-01,28123,FALSE
2012,may,14,2165.0899999999997,SARDINA COMUN,INDUSTRIAL,5,2012-05-01,28123,FALSE
