year,month,P_jurel,P_sardina_comun,P_anchoveta,Q_jurel,Q_sardina_comun,Q_anchoveta
2016,6,200000,110000,588045.5,35130.141,33770.975,5474.125000000001
2016,7,200000,118304.25,100000,8906.078,20547.013,2900.6509999999994
2016,8,NA,NA,NA,8462.757000000001,71.38700000000003,26.24
2016,9,NA,NA,NA,105.382,208.07800000000003,13.1
2016,10,NA,121107.33333333333,835823,3670.6779999999994,28470.199000000008,1918.8799999999999
2016,11,NA,117263,NA,3042.278,60041.66000000004,12210.441
2016,12,200000,119794.75,957389,25621.550000000003,25501.562,972.1309999999999
2017,1,232633,NA,NA,16897.188,202.53199999999998,46.971000000000004
2017,2,NA,100000,NA,4012.23,20605.559000000005,1341.0929999999998
2017,3,240000,101305.4,98060,38980.798,169656.5179999997,13893.260000000002
2017,4,240000,113139.6,116899.33333333333,53285.75500000004,34265.10799999998,6200.24
2017,5,180000,105858,104230,70295.02900000004,30949.61300000003,8768.418
2017,6,240000,108777,110054,28097.368999999977,13014.722,2075.8160000000003
2017,7,240000,196265.5,NA,39117.077000000005,12926.533999999998,1699.8279999999997
2017,8,240000,663567,NA,19115.254000000008,93.36199999999997,93.338
2017,9,NA,NA,NA,4576.857,24.795,18.044
2017,10,NA,213770.8333333333,95000,3,20624.766999999996,3043.841
2017,11,NA,230635.3333333333,96041,8.713999999999999,28720.390000000032,15477.358000000007
2017,12,NA,196958.5,97031,13798.444,13904.765000000009,4618.351000000001
2018,1,223733,NA,NA,47397.35699999999,25.075999999999997,9.254
2018,2,227307.66666666666,167785,215570,50863.59,15461.510999999999,2141.9160000000006
2018,3,230000,116677.85714285714,117380.66666666667,41909.306000000004,129505.82700000008,15468.492000000004
2018,4,230000,123341,127970,42882.01299999999,76365.92200000002,11899.626999999999
2018,5,230000,117008.6,146284,65005.52299999998,31355.127999999968,7508.4490000000005
2018,6,230000,129720,155509,48548.88200000002,23661.932000000004,5597.892
2018,7,210000,98620.66666666667,90000,44127.09000000001,1343.4790000000003,16.051000000000002
2018,8,210000,NA,NA,14828.786,60.001000000000005,0.7150000000000001
