ANIO,REG,MES,NM_RECURSO,Precio_ponderado,Q_total_consolidado,N_Plantas_Compradoras,Fecha,Region_Label,Nombre_Region
2023,8,11,SARDINA COMUN,246000,3306.15,1,2023-11-01,Región 8,VIII - Biobío
2023,8,12,SARDINA COMUN,222999.99999999997,766.363,1,2023-12-01,Región 8,VIII - Biobío
2024,8,3,SARDINA COMUN,190000,3112.291,1,2024-03-01,Región 8,VIII - Biobío
2024,8,4,SARDINA COMUN,190000,498.119,1,2024-04-01,Región 8,VIII - Biobío
2024,8,5,SARDINA COMUN,190000,262.32,1,2024-05-01,Región 8,VIII - Biobío
2024,8,6,SARDINA COMUN,190000,2.792,1,2024-06-01,Región 8,VIII - Biobío
2016,10,1,ANCHOVETA,117678,52,1,2016-01-01,Región 10,X - Los Lagos
2016,10,2,ANCHOVETA,97867,199,1,2016-02-01,Región 10,X - Los Lagos
2016,10,3,ANCHOVETA,121408,35,1,2016-03-01,Región 10,X - Los Lagos
2016,10,4,ANCHOVETA,113888,99,1,2016-04-01,Región 10,X - Los Lagos
2014,10,2,SARDINA COMUN,90170,28.03,1,2014-02-01,Región 10,X - Los Lagos
2014,10,3,SARDINA COMUN,93150,56.55,1,2014-03-01,Región 10,X - Los Lagos
2014,10,4,SARDINA COMUN,95420,32.6,1,2014-04-01,Región 10,X - Los Lagos
2014,10,5,SARDINA COMUN,93070,104.74,1,2014-05-01,Región 10,X - Los Lagos
2014,10,7,SARDINA COMUN,115459.99999999999,323.072,1,2014-07-01,Región 10,X - Los Lagos
2014,10,8,SARDINA COMUN,119060,25.4,1,2014-08-01,Región 10,X - Los Lagos
2014,10,11,SARDINA COMUN,120656,1128.15,1,2014-11-01,Región 10,X - Los Lagos
2014,10,12,SARDINA COMUN,130250.00000000001,542.92,1,2014-12-01,Región 10,X - Los Lagos
2015,10,11,SARDINA COMUN,129699,440.44999999999993,1,2015-11-01,Región 10,X - Los Lagos
2016,10,1,SARDINA COMUN,117678,151,1,2016-01-01,Región 10,X - Los Lagos
2016,10,2,SARDINA COMUN,97867,191,1,2016-02-01,Región 10,X - Los Lagos
2016,10,3,SARDINA COMUN,121408,104,1,2016-03-01,Región 10,X - Los Lagos
2016,10,4,SARDINA COMUN,113888,173,1,2016-04-01,Región 10,X - Los Lagos
2013,14,2,ANCHOVETA,92055,109.821,1,2013-02-01,Región 14,XIV - Los Ríos
2013,14,3,ANCHOVETA,91673.99999999999,233.34900000000002,1,2013-03-01,Región 14,XIV - Los Ríos
2013,14,4,ANCHOVETA,100221,439.697,1,2013-04-01,Región 14,XIV - Los Ríos
2013,14,5,ANCHOVETA,106553,479.30199999999996,1,2013-05-01,Región 14,XIV - Los Ríos
2013,14,6,ANCHOVETA,121400.00000000001,950.2229999999998,1,2013-06-01,Región 14,XIV - Los Ríos
2013,14,7,ANCHOVETA,111689,176.412,1,2013-07-01,Región 14,XIV - Los Ríos
2013,14,10,ANCHOVETA,77819,10.699,1,2013-10-01,Región 14,XIV - Los Ríos
2013,14,11,ANCHOVETA,84664,323.903,1,2013-11-01,Región 14,XIV - Los Ríos
2013,14,12,ANCHOVETA,84480,588.2120000000001,1,2013-12-01,Región 14,XIV - Los Ríos
2014,14,2,ANCHOVETA,88495,615.568,1,2014-02-01,Región 14,XIV - Los Ríos
2014,14,3,ANCHOVETA,92640.00000000001,117.158,1,2014-03-01,Región 14,XIV - Los Ríos
2014,14,4,ANCHOVETA,95512,117.83300000000001,1,2014-04-01,Región 14,XIV - Los Ríos
2014,14,5,ANCHOVETA,97304,60.785,1,2014-05-01,Región 14,XIV - Los Ríos
2014,14,6,ANCHOVETA,97315.99999999999,45.599000000000004,1,2014-06-01,Región 14,XIV - Los Ríos
2014,14,11,ANCHOVETA,119783.99999999999,43.675,1,2014-11-01,Región 14,XIV - Los Ríos
2015,14,7,ANCHOVETA,119322.99999999999,2.823,1,2015-07-01,Región 14,XIV - Los Ríos
2015,14,10,ANCHOVETA,126881,9.297,1,2015-10-01,Región 14,XIV - Los Ríos
2015,14,11,ANCHOVETA,129496,97.672,1,2015-11-01,Región 14,XIV - Los Ríos
2015,14,12,ANCHOVETA,136479,238.945,1,2015-12-01,Región 14,XIV - Los Ríos
2018,14,10,ANCHOVETA,126345.99999999999,134.154,1,2018-10-01,Región 14,XIV - Los Ríos
2018,14,11,ANCHOVETA,136231,122.45600000000002,1,2018-11-01,Región 14,XIV - Los Ríos
2018,14,12,ANCHOVETA,159033,35.739,1,2018-12-01,Región 14,XIV - Los Ríos
2019,14,2,ANCHOVETA,116019,9.41,1,2019-02-01,Región 14,XIV - Los Ríos
2019,14,3,ANCHOVETA,140456,129.51,1,2019-03-01,Región 14,XIV - Los Ríos
2019,14,4,ANCHOVETA,139136,112.12,1,2019-04-01,Región 14,XIV - Los Ríos
2019,14,5,ANCHOVETA,134852,1034.24,1,2019-05-01,Región 14,XIV - Los Ríos
2019,14,6,ANCHOVETA,135151,2486.1000000000004,1,2019-06-01,Región 14,XIV - Los Ríos
2019,14,7,ANCHOVETA,182213,96.69,1,2019-07-01,Región 14,XIV - Los Ríos
2019,14,11,ANCHOVETA,155229,1406.4299999999998,1,2019-11-01,Región 14,XIV - Los Ríos
2019,14,12,ANCHOVETA,149748,849.16,1,2019-12-01,Región 14,XIV - Los Ríos
2020,14,2,ANCHOVETA,124176,1714.996,1,2020-02-01,Región 14,XIV - Los Ríos
2020,14,3,ANCHOVETA,134485,1136.6090000000002,1,2020-03-01,Región 14,XIV - Los Ríos
2020,14,4,ANCHOVETA,145413,562.103,1,2020-04-01,Región 14,XIV - Los Ríos
2020,14,5,ANCHOVETA,149787,1140.022,1,2020-05-01,Región 14,XIV - Los Ríos
2020,14,6,ANCHOVETA,146279,585.258,1,2020-06-01,Región 14,XIV - Los Ríos
2020,14,2,JUREL,200000,1084.462,1,2020-02-01,Región 14,XIV - Los Ríos
2012,14,2,SARDINA COMUN,67000,7567,1,2012-02-01,Región 14,XIV - Los Ríos
2012,14,3,SARDINA COMUN,62000,20491,1,2012-03-01,Región 14,XIV - Los Ríos
2012,14,4,SARDINA COMUN,67000,16571,1,2012-04-01,Región 14,XIV - Los Ríos
2012,14,5,SARDINA COMUN,74000,13048,1,2012-05-01,Región 14,XIV - Los Ríos
2012,14,6,SARDINA COMUN,86000,2429,1,2012-06-01,Región 14,XIV - Los Ríos
2012,14,7,SARDINA COMUN,79000,1934,1,2012-07-01,Región 14,XIV - Los Ríos
2012,14,8,SARDINA COMUN,76000,5028,1,2012-08-01,Región 14,XIV - Los Ríos
2012,14,10,SARDINA COMUN,78000,9263,1,2012-10-01,Región 14,XIV - Los Ríos
2012,14,11,SARDINA COMUN,83000,21790,1,2012-11-01,Región 14,XIV - Los Ríos
2012,14,12,SARDINA COMUN,93000,20076,1,2012-12-01,Región 14,XIV - Los Ríos
2013,14,2,SARDINA COMUN,92055,7538.711,1,2013-02-01,Región 14,XIV - Los Ríos
2013,14,3,SARDINA COMUN,91674,9363.041,1,2013-03-01,Región 14,XIV - Los Ríos
2013,14,4,SARDINA COMUN,100221,6207.649,1,2013-04-01,Región 14,XIV - Los Ríos
2013,14,5,SARDINA COMUN,106553.00000000001,5176.484999999999,1,2013-05-01,Región 14,XIV - Los Ríos
2013,14,6,SARDINA COMUN,121400,2467.197,1,2013-06-01,Región 14,XIV - Los Ríos
2013,14,7,SARDINA COMUN,111689,2761.5110000000004,1,2013-07-01,Región 14,XIV - Los Ríos
2013,14,10,SARDINA COMUN,77819,1400.845,1,2013-10-01,Región 14,XIV - Los Ríos
2013,14,11,SARDINA COMUN,84664,2814.5519999999997,1,2013-11-01,Región 14,XIV - Los Ríos
2013,14,12,SARDINA COMUN,84480,7148.675,1,2013-12-01,Región 14,XIV - Los Ríos
2014,14,2,SARDINA COMUN,88494.99999999999,12416.102999999997,1,2014-02-01,Región 14,XIV - Los Ríos
2014,14,3,SARDINA COMUN,92640,21110.927999999993,1,2014-03-01,Región 14,XIV - Los Ríos
2014,14,4,SARDINA COMUN,95512,15619.314999999999,1,2014-04-01,Región 14,XIV - Los Ríos
2014,14,5,SARDINA COMUN,97304,6100.419000000001,1,2014-05-01,Región 14,XIV - Los Ríos
2014,14,6,SARDINA COMUN,97316,6490.853999999999,1,2014-06-01,Región 14,XIV - Los Ríos
2014,14,7,SARDINA COMUN,98674,7414.426999999999,1,2014-07-01,Región 14,XIV - Los Ríos
2014,14,10,SARDINA COMUN,118828,3055.3540000000003,1,2014-10-01,Región 14,XIV - Los Ríos
2014,14,11,SARDINA COMUN,119784,10724.679999999995,1,2014-11-01,Región 14,XIV - Los Ríos
2014,14,12,SARDINA COMUN,127349,2373.725,1,2014-12-01,Región 14,XIV - Los Ríos
2015,14,7,SARDINA COMUN,119323,2212.2440000000006,1,2015-07-01,Región 14,XIV - Los Ríos
2015,14,8,SARDINA COMUN,124018,883.565,1,2015-08-01,Región 14,XIV - Los Ríos
2015,14,10,SARDINA COMUN,126881,7691.029000000001,1,2015-10-01,Región 14,XIV - Los Ríos
2015,14,11,SARDINA COMUN,129496,3825.9060000000004,1,2015-11-01,Región 14,XIV - Los Ríos
2015,14,12,SARDINA COMUN,136479,5940.495,1,2015-12-01,Región 14,XIV - Los Ríos
2018,14,7,SARDINA COMUN,103055,1120.282,1,2018-07-01,Región 14,XIV - Los Ríos
2018,14,10,SARDINA COMUN,126346,7401.209000000001,1,2018-10-01,Región 14,XIV - Los Ríos
2018,14,11,SARDINA COMUN,136231,8227.280999999999,1,2018-11-01,Región 14,XIV - Los Ríos
2018,14,12,SARDINA COMUN,159033,1912.6660000000002,1,2018-12-01,Región 14,XIV - Los Ríos
2019,14,2,SARDINA COMUN,116079,11544.529999999999,1,2019-02-01,Región 14,XIV - Los Ríos
2019,14,3,SARDINA COMUN,140456,14532.449999999997,1,2019-03-01,Región 14,XIV - Los Ríos
2019,14,4,SARDINA COMUN,139862,11974.369999999999,1,2019-04-01,Región 14,XIV - Los Ríos
2019,14,5,SARDINA COMUN,134862,4653.360000000001,1,2019-05-01,Región 14,XIV - Los Ríos
2019,14,6,SARDINA COMUN,135151,2390.47,1,2019-06-01,Región 14,XIV - Los Ríos
2019,14,7,SARDINA COMUN,182213,209.72,1,2019-07-01,Región 14,XIV - Los Ríos
2019,14,11,SARDINA COMUN,155229,7874.479999999999,1,2019-11-01,Región 14,XIV - Los Ríos
2019,14,12,SARDINA COMUN,149748,8996.869999999997,1,2019-12-01,Región 14,XIV - Los Ríos
2020,14,2,SARDINA COMUN,124176,5300.462,1,2020-02-01,Región 14,XIV - Los Ríos
2020,14,3,SARDINA COMUN,134485,8744.298999999999,1,2020-03-01,Región 14,XIV - Los Ríos
2020,14,4,SARDINA COMUN,145413,9346.481999999998,1,2020-04-01,Región 14,XIV - Los Ríos
2020,14,5,SARDINA COMUN,149787,5534.731,1,2020-05-01,Región 14,XIV - Los Ríos
2020,14,6,SARDINA COMUN,146279,2626.986,1,2020-06-01,Región 14,XIV - Los Ríos
